steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5760,4.633505033605601,18.82551512786217,14.192010094256572,7.289512529497127,2.1524715303685187,4.750026034390926,764786.5520694008,80.99458366107919,15.83342011463642,7.174905101228396,95.22569444444444,275,385.74970149993896,100.0,0,0.0,62.10069444444445,2183,6893.667533874512,2458,2492.1410341909514,545.9800039294614,1594.4233554580537,964.8017977790362,0,rule_based,17,2020,5.3
5760,-6.971197553462108,18.221369854828968,25.192567408291076,8.104337951146658,2.1297811298067355,14.958448327337681,740243.1503524268,90.04819945718509,49.86149442445894,7.099270432689119,93.87152777777777,353,601.7383589744568,100.0,0,0.0,51.05902777777778,2819,6172.752422332764,3172,2770.71382839817,1719.3618767216722,1577.6156514270263,1167.3957143081307,0,rule_based,17,2021,7.6
5760,1.3275113618985808,17.637418865785413,16.309907503886834,7.499613752832879,2.1396342341557695,6.670659516898183,716520.1414225324,83.3290416981431,22.235531722993944,7.132114113852565,95.39930555555556,265,493.48263025283813,100.0,0,0.0,61.111111111111114,2240,5014.862869262695,2505,2563.970514295536,766.7424732707419,1584.9142469795343,1140.604291500547,0,rule_based,17,2022,5.4
5760,-3.8142653819713086,17.52128685038918,21.335552232360484,7.35007553803624,2.3552000843903835,11.630276609933864,711802.2782970604,81.66750597818044,38.767588699779544,7.850666947967945,93.02083333333333,402,549.7288312911987,100.0,0,0.0,53.07291666666667,2703,6248.114597320557,3105,2512.846337649489,1336.8134034486193,1744.592654565445,1265.6447612482766,0,rule_based,17,2023,5.1
5760,-6.2456262773591344,18.51357283479499,24.75919911215413,5.674557223999432,2.519005718881613,16.56563616927308,752113.8964135465,63.05063582221592,55.21878723091027,8.396685729605377,76.75347222222221,1339,1073.966287612915,100.0,0,0.0,47.986111111111114,2996,5289.505546569824,4335,1940.0195638681084,1904.0961106274808,1865.930161675154,1895.8756911250262,0,sindy_mpc,17,2020,76.3
5760,-19.12743341325943,15.137724833862823,34.26515824712225,7.490282739373281,2.2026318925969286,24.57224361515204,614970.0713756771,83.22536377081424,81.90747871717348,7.342106308656429,84.35763888888889,901,1082.4634490013123,99.86111111111111,8,1581.9903564453125,34.46180555555556,3775,6799.612991333008,4684,2560.7804238351337,2824.395817719831,1631.5791797373709,1822.9932424082017,0,sindy_mpc,17,2021,75.1
5760,-8.777795880867977,20.766619023263146,29.544414904131123,6.293198155178429,2.4308144511874894,20.820402297765206,843643.8978200654,69.92442394642698,69.40134099255069,8.102714837291632,87.29166666666667,732,630.7887859344482,100.0,0,0.0,45.3125,3150,4546.257030487061,3882,2151.520735986495,2393.149689362938,1800.6032968484783,1672.9629489043316,0,sindy_mpc,17,2022,83.5
5760,-7.524459241815921,14.197882594517706,21.72234183633363,6.2543237882353555,2.484696390115861,12.983321657982412,576788.9804022819,69.4924865359484,43.27773885994137,8.282321300386204,86.94444444444444,752,633.0042810440063,100.0,0,0.0,43.611111111111114,3248,5307.988037109375,4000,2138.230354399244,1492.3358226925834,1840.5158443463959,1982.323378165665,0,sindy_mpc,17,2023,74.8
5760,2.4220483745753807,13.824592535175968,11.402544160600588,4.955967899535131,5.8141310249308145,0.6324452361346423,561624.0717415237,55.06630999483479,2.1081507871154743,19.380436749769384,69.6875,1746,1113.6460494995117,51.71875,2781,2949255.8653564453,53.05555555555556,2704,5641.36589050293,7231,1694.347999970218,72.69485476266844,4306.763720285805,1280.7312724884825,0,grey_box_mpc,17,2020,72.0
5760,-1.672516690983523,11.450109571570167,13.12262626255369,6.781217807487325,5.218588020950428,1.1228204341159373,465160.701345038,75.34686452763694,3.742734780386458,17.395293403168093,79.54861111111111,1178,653.9758186340332,49.114583333333336,2931,2993749.946044922,43.958333333333336,3228,6190.892761230469,7337,2318.3650621325323,129.059819802969,3865.6207556813706,1102.2228496372334,0,grey_box_mpc,17,2021,64.1
