mode,seed,state,rmse_onestep_model,rmse_freerun_model,true_std,n_steps
action_replay,0,t_in,1.9601313215681808,2.756880796547357,4.30120413391641,5760
action_replay,0,co2,98.32757136688362,369.6677727260253,182.7234369045328,5760
action_replay,0,rh,6.832309190900763,9.48535146385004,13.06614810454844,5760
action_replay,1,t_in,1.8679668916251524,2.8143373702344903,4.2656758574631946,5760
action_replay,1,co2,99.9495699586842,448.47117746415705,189.76364865516672,5760
action_replay,1,rh,6.756200934543445,9.07849953411894,12.608477570060918,5760
action_replay,10,t_in,1.8995963463050052,2.66227752112882,4.256257516944515,5760
action_replay,10,co2,96.78194471834956,311.37446184066533,180.47491225729735,5760
action_replay,10,rh,6.97305298721645,9.88987940897276,12.873273022639172,5760
action_replay,11,t_in,1.9300717409656325,2.6776257292644834,4.263900788319277,5760
action_replay,11,co2,94.26677839695508,331.18466453748294,178.05388190845937,5760
action_replay,11,rh,7.018435700525808,9.01951093982049,12.88696111680901,5760
action_replay,12,t_in,1.77038620547218,2.3917820587402048,4.187512197058719,5760
action_replay,12,co2,95.77411698680814,405.356568981962,182.76595305991717,5760
action_replay,12,rh,6.740374716002527,8.981818001054293,12.563381997636272,5760
action_replay,13,t_in,1.8743421071816324,2.6247664928313026,4.236589724937429,5760
action_replay,13,co2,94.37601052929078,360.3632109367338,181.71528746215316,5760
action_replay,13,rh,6.747273917808388,8.859163313852893,12.869432576716733,5760
action_replay,14,t_in,1.8301070259844825,2.413181141624188,4.2917981954372655,5760
action_replay,14,co2,95.35822387709804,311.37427506034186,193.2851087285804,5760
action_replay,14,rh,6.67240282864041,9.037002003579031,12.79072193843701,5760
action_replay,15,t_in,1.9184868062411595,2.473740294019419,4.2382438855245335,5760
action_replay,15,co2,100.24150589032466,284.1754236557953,187.16067673432755,5760
action_replay,15,rh,7.049491422014823,9.017594653631052,12.800491281332262,5760
action_replay,16,t_in,1.9418883505708409,2.693185975605574,4.270730944188928,5760
action_replay,16,co2,96.40401183593566,351.7335685016539,203.0982732051621,5760
action_replay,16,rh,6.632707174845965,9.361343519078146,12.84650385886676,5760
action_replay,17,t_in,1.831017057106992,2.367439172897598,4.229070319092871,5760
action_replay,17,co2,93.9287693540916,313.76075718631483,177.90119811402514,5760
action_replay,17,rh,6.79663865144585,9.585353713574476,12.886955291489706,5760
action_replay,18,t_in,1.833793208435104,2.30873405350921,4.279715052176183,5760
action_replay,18,co2,96.23715071731532,334.7298237470722,193.2283577882156,5760
action_replay,18,rh,6.613255671799622,9.121422691100696,12.995070511236582,5760
action_replay,19,t_in,1.9200212698950536,2.5617984084980554,4.214259614196854,5760
action_replay,19,co2,96.14678556324424,295.69318127271555,178.97765151656688,5760
action_replay,19,rh,6.904599371238996,9.159136162302769,12.878800138660369,5760
action_replay,2,t_in,1.814479891478321,2.561894745210112,4.220118770557818,5760
action_replay,2,co2,99.71856030372952,452.9458283566706,176.14144504340706,5760
action_replay,2,rh,6.812241892522049,9.969979927416574,12.815619186632588,5760
action_replay,3,t_in,1.943898808665541,2.588265053086916,4.26648746500156,5760
action_replay,3,co2,98.84856642534724,391.9374077160406,196.96186043398004,5760
action_replay,3,rh,6.66721909065517,8.947836355896381,12.902449207659483,5760
action_replay,4,t_in,1.865606364704604,2.4603136819449545,4.264740785037725,5760
action_replay,4,co2,95.10899157397373,344.3195366214304,178.24023134969806,5760
action_replay,4,rh,7.048774662677377,10.811448800336546,12.728387476605642,5760
action_replay,5,t_in,1.8717268090029424,2.5250489638886564,4.193071671875221,5760
action_replay,5,co2,94.71051734776366,302.4478078399091,184.0828683942116,5760
action_replay,5,rh,6.884398506239074,9.321925250920426,12.694469168215734,5760
action_replay,6,t_in,1.900888712953224,2.6398657112893806,4.303890588675167,5760
action_replay,6,co2,100.33297705060892,340.6114398425139,186.753681582246,5760
action_replay,6,rh,6.643533216025357,8.735286858852252,12.899089563663122,5760
action_replay,7,t_in,1.7798204627527872,2.660417755456543,4.283426412655178,5760
action_replay,7,co2,96.73195298230608,382.6399967626693,187.9514027450597,5760
action_replay,7,rh,6.678603988049296,10.43807778683362,12.943878157172245,5760
action_replay,9,t_in,1.8795678005199692,2.6365696225192763,4.234344960330427,5760
action_replay,9,co2,94.0056171384772,421.3842391314326,189.2063728769669,5760
action_replay,9,rh,6.775090242676505,9.137026337907558,12.766197194221666,5760
