variant,seed,optimizer,degree,denoise,kappa,nonzero,secs,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in
physics_no_tuboil,0,stlsq,1,none,51.59673309586683,38,2.4,23.686274561137576,0.0833333333333333,1.6184357706098518
physics_no_tuboil,0,ensemble,1,none,51.59673309586683,37,0.4,23.848812762373115,0.0833333333333333,1.618538973773357
physics_no_tuboil,1,stlsq,1,none,52.61960764936514,37,0.0,25.546115684736925,0.1,1.6693340946207709
physics_no_tuboil,1,ensemble,1,none,52.61960764936514,37,0.4,26.543158416550728,0.1,1.6706408304277844
physics_no_tuboil,2,stlsq,1,none,55.42510994380537,37,0.0,31.78582769858034,0.1166666666666666,1.6984888282533612
physics_no_tuboil,2,ensemble,1,none,55.42510994380537,38,0.4,29.06759059571548,0.1333333333333333,1.7012096280582258
physics_no_tuboil,3,stlsq,1,none,52.7641741186067,34,0.0,21.114964815733163,0.0666666666666666,1.66554957394472
physics_no_tuboil,3,ensemble,1,none,52.7641741186067,35,0.5,22.31626939269813,0.0666666666666666,1.6659855558585426
physics_no_tuboil,4,stlsq,1,none,52.98520617614847,34,0.0,23.96172378533515,0.0833333333333333,1.6977526555554907
physics_no_tuboil,4,ensemble,1,none,52.98520617614847,34,0.4,24.34401881411355,0.0833333333333333,1.6981772134052189
physics_no_tuboil,5,stlsq,1,none,57.26360372699828,35,0.0,10.200065846661694,0.0166666666666666,1.6687027096024638
physics_no_tuboil,5,ensemble,1,none,57.26360372699828,37,0.4,10.375118326495445,0.0166666666666666,1.6708434342328005
physics_no_tuboil,6,stlsq,1,none,49.37065741044545,34,0.0,19.8434084616366,0.05,1.6464653666064064
physics_no_tuboil,6,ensemble,1,none,49.37065741044545,34,0.4,19.50730437450194,0.05,1.6489767906703514
physics_no_tuboil,7,stlsq,1,none,50.97961480485391,36,0.0,16.14259358989349,0.0333333333333333,1.702179764957091
physics_no_tuboil,7,ensemble,1,none,50.97961480485391,40,0.5,20.239389569326782,0.05,1.6956638851994197
physics_no_tuboil,8,stlsq,1,none,53.12414067346776,38,0.0,22.76664046712853,0.0833333333333333,1.6485618554369412
physics_no_tuboil,8,ensemble,1,none,53.12414067346776,38,0.4,23.820963848426008,0.0833333333333333,1.650534823372571
physics_no_tuboil,9,stlsq,1,none,53.33533158548723,36,0.0,27.792610160375595,0.1166666666666666,1.6858090974912825
physics_no_tuboil,9,ensemble,1,none,53.33533158548723,36,0.4,25.531331019514237,0.1,1.6875412858212426
physics_no_tuboil,10,stlsq,1,none,49.55146917156885,38,0.0,25.278576873951614,0.1,1.703337185154944
physics_no_tuboil,10,ensemble,1,none,49.55146917156885,39,0.4,28.11073507343894,0.1166666666666666,1.6948456637903455
physics_no_tuboil,11,stlsq,1,none,53.14900311474349,32,0.0,31.331234605666943,0.1333333333333333,1.6968622233511148
physics_no_tuboil,11,ensemble,1,none,53.14900311474349,32,0.4,31.22985573099445,0.1166666666666666,1.69935551652073
physics_no_tuboil,12,stlsq,1,none,53.50829304988397,33,0.0,30.594231362723967,0.0833333333333333,1.714046909963531
physics_no_tuboil,12,ensemble,1,none,53.50829304988397,33,0.5,30.1181841425468,0.0833333333333333,1.7167863385238105
physics_no_tuboil,13,stlsq,1,none,56.47179871813989,39,0.0,23.20999207831922,0.0833333333333333,1.6953032141651725
physics_no_tuboil,13,ensemble,1,none,56.47179871813989,39,0.4,23.998841531052367,0.0833333333333333,1.6958283362614792
physics_no_tuboil,14,stlsq,1,none,49.45021727240157,36,0.0,20.598817330348016,0.05,1.710488438412389
physics_no_tuboil,14,ensemble,1,none,49.45021727240157,36,0.4,18.9260990838674,0.05,1.7156071009438512
physics_no_tuboil,15,stlsq,1,none,49.96848399108565,34,0.0,23.477742193514903,0.05,1.67862382267821
physics_no_tuboil,15,ensemble,1,none,49.96848399108565,35,0.4,23.217993011911005,0.05,1.6790213747226088
physics_no_tuboil,16,stlsq,1,none,50.12543438276049,34,0.0,27.554094750750963,0.1333333333333333,1.6479935975576174
physics_no_tuboil,16,ensemble,1,none,50.12543438276049,34,0.4,33.17674536823916,0.1666666666666666,1.6531615593667257
physics_no_tuboil,17,stlsq,1,none,51.4746448137582,40,0.0,18.724232656228725,0.05,1.649524832974134
physics_no_tuboil,17,ensemble,1,none,51.4746448137582,39,0.6,26.308131265714454,0.1166666666666666,1.6812856584148297
physics_no_tuboil,18,stlsq,1,none,50.24424636156503,33,0.0,17.9401608067927,0.0666666666666666,1.6711347946288737
physics_no_tuboil,18,ensemble,1,none,50.24424636156503,35,0.4,17.82222172619967,0.0666666666666666,1.6628997638959897
physics_no_tuboil,19,stlsq,1,none,52.27331146819029,38,2.0,25.16734501891914,0.06666666666666667,1.6860184356233776
physics_no_tuboil,19,ensemble,1,none,52.27331146819029,37,0.4,24.65501234365956,0.06666666666666667,1.6894222134318675
