block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d1/stlsq/kalman,0,physics,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,5.974681188940015,0.0,3.026896713813973,,True,4.0
ladder,physics/d1/sr3/none,0,physics,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,14,53.12807663287716,3450.1870490429146,0.3,2.969716257554473,,True,2.1
ladder,physics/d1/sr3/savgol,0,physics,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.0157778316689,5.382003250468388,0.0,3.018367993505409,,True,3.4
ladder,physics/d1/sr3/kalman,0,physics,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,7.614036690830782,0.0,3.038646431805106,,True,4.0
ladder,physics/d1/constrained/none,0,physics,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,14,53.12807663287716,3450.1870490429146,0.3,2.969716257554473,,True,2.1
ladder,physics/d1/constrained/savgol,0,physics,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.0157778316689,5.382003250468388,0.0,3.018367993505409,,True,3.5
ladder,physics/d1/constrained/kalman,0,physics,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,7.614036690830782,0.0,3.038646431805106,,True,4.0
ladder,physics/d1/ensemble/none,0,physics,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,38,53.12807663287716,26.882948266881552,0.1,1.6193512998261257,,True,4.0
ladder,physics/d1/ensemble/savgol,0,physics,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,5,42.0157778316689,5.769691894310341,0.0,3.0244756807748683,,True,4.1
ladder,physics/d1/ensemble/kalman,0,physics,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,5.99427986470933,0.0,3.0271083936091974,,True,4.7
ladder,physics/d2/stlsq/none,0,physics,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,248,53.12807663287716,3.367141971963307,0.016666666666666666,0.9557157256722445,,False,33.1
ladder,physics/d2/stlsq/savgol,0,physics,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,17,42.0157778316689,5.762135332062457,0.0,3.0243782536877073,,False,30.0
ladder,physics/d2/stlsq/kalman,0,physics,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,5.974681188940015,0.0,3.026896713813973,,False,31.3
ladder,physics/d2/sr3/none,0,physics,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,146,53.12807663287716,2402.804884244579,0.48333333333333334,8.051199392222754,,False,12.4
ladder,physics/d2/sr3/savgol,0,physics,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.0157778316689,7.0485629918583514,0.0,3.0355181213722053,,False,27.4
ladder,physics/d2/sr3/kalman,0,physics,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,7.925291948537963,0.0,3.0401379281250405,,False,28.0
ladder,physics/d2/constrained/none,0,physics,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,146,53.12807663287716,2402.804884244579,0.48333333333333334,8.051199392222754,,False,11.7
ladder,physics/d2/constrained/savgol,0,physics,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.0157778316689,7.0485629918583514,0.0,3.0355181213722053,,False,28.2
ladder,physics/d2/constrained/kalman,0,physics,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,7.925291948537963,0.0,3.0401379281250405,,False,27.4
ladder,physics/d2/ensemble/none,0,physics,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,240,53.12807663287716,33433.621683826845,0.7,4.564337519681648,,False,139.6
