block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d1/stlsq/savgol,3,physics,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,44.78358889933732,5.410270299485398,0.0,2.9480233758119367,,True,3.8
ladder,physics/d1/stlsq/kalman,3,physics,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,5.573629528206584,0.0,2.950503556249535,,True,4.7
ladder,physics/d1/sr3/none,3,physics,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,18,53.56973737447831,3465.260819152903,0.21666666666666667,2.3706545667905825,,True,3.3
ladder,physics/d1/sr3/savgol,3,physics,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,44.78358889933732,4.980853903189675,0.0,2.937788718810332,,True,3.9
ladder,physics/d1/sr3/kalman,3,physics,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,6.519149641999073,0.0,2.9596861690634264,,True,4.4
ladder,physics/d1/constrained/none,3,physics,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,18,53.56973737447831,3465.260819152903,0.21666666666666667,2.3706545667905825,,True,3.3
ladder,physics/d1/constrained/savgol,3,physics,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,44.78358889933732,4.980853903189675,0.0,2.937788718810332,,True,3.5
ladder,physics/d1/constrained/kalman,3,physics,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,6.519149641999073,0.0,2.9596861690634264,,True,4.5
ladder,physics/d1/ensemble/none,3,physics,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,34,53.56973737447831,18.738659406762075,0.05,1.6588688041295347,,True,4.8
ladder,physics/d1/ensemble/savgol,3,physics,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,44.78358889933732,5.414082287981709,0.0,2.948086810039261,,True,4.4
