equation,term,coefficient,abs_coefficient,nonzero
t_in,1,0.0,0.0,False
t_in,t_in,-0.11871769404019113,0.11871769404019113,True
t_in,co2,0.0,0.0,False
t_in,rh,0.6289206665862948,0.6289206665862948,True
t_in,T_out,0.35775558044215117,0.35775558044215117,True
t_in,rad,0.3954791645671878,0.3954791645671878,True
t_in,co2_out,0.0,0.0,False
t_in,sin_h,0.07794081935026005,0.07794081935026005,True
t_in,cos_h,0.08426080222005158,0.08426080222005158,True
t_in,uBoil,-0.05583673689431514,0.05583673689431514,True
t_in,uCO2,0.0,0.0,False
t_in,uThScr,0.25628687919598225,0.25628687919598225,True
t_in,uVent,-2.388539892068923,2.388539892068923,True
t_in,uLamp,0.08594455852447735,0.08594455852447735,True
t_in,uBlScr,0.05628261529088755,0.05628261529088755,True
t_in,psat,0.5790020065988566,0.5790020065988566,True
t_in,vpd,1.134564320626105,1.134564320626105,True
t_in,S_eff,1.84156549876926,1.84156549876926,True
t_in,t_S_eff,-2.1444949983764214,2.1444949983764214,True
t_in,h_uVent,2.0919356909429374,2.0919356909429374,True
t_in,dc_uVent,-0.22538675984711073,0.22538675984711073,True
t_in,t_uBoil,0.15181614863503165,0.15181614863503165,True
co2,1,0.0,0.0,False
co2,t_in,-0.948524298611101,0.948524298611101,True
co2,co2,0.8854134286563069,0.8854134286563069,True
co2,rh,0.3784798421999955,0.3784798421999955,True
co2,T_out,0.06535530609123302,0.06535530609123302,True
co2,rad,0.0,0.0,False
co2,co2_out,0.0,0.0,False
co2,sin_h,0.0,0.0,False
co2,cos_h,0.09167957414218608,0.09167957414218608,True
co2,uBoil,-0.3531831247195736,0.3531831247195736,True
co2,uCO2,0.6972388088052832,0.6972388088052832,True
co2,uThScr,0.13644653931031256,0.13644653931031256,True
co2,uVent,-1.8338498228553088,1.8338498228553088,True
co2,uLamp,-0.0699264943603909,0.0699264943603909,True
co2,uBlScr,0.10160865352870417,0.10160865352870417,True
co2,psat,0.6776118053023596,0.6776118053023596,True
co2,vpd,0.6452567542672824,0.6452567542672824,True
co2,S_eff,0.3955824892292602,0.3955824892292602,True
co2,t_S_eff,-0.5897166894085012,0.5897166894085012,True
co2,h_uVent,1.6816789640034417,1.6816789640034417,True
co2,dc_uVent,-0.37099383229449096,0.37099383229449096,True
co2,t_uBoil,0.3344090872529909,0.3344090872529909,True
rh,1,0.0,0.0,False
rh,t_in,-0.10441906485103869,0.10441906485103869,True
rh,co2,0.0,0.0,False
rh,rh,1.3489551287838952,1.3489551287838952,True
rh,T_out,0.0687703135201834,0.0687703135201834,True
rh,rad,0.2213062203619815,0.2213062203619815,True
rh,co2_out,0.0,0.0,False
rh,sin_h,0.0,0.0,False
rh,cos_h,0.0,0.0,False
rh,uBoil,-0.3621405137754352,0.3621405137754352,True
rh,uCO2,0.0,0.0,False
rh,uThScr,0.0,0.0,False
rh,uVent,-1.9525884211054387,1.9525884211054387,True
rh,uLamp,0.10378388098220159,0.10378388098220159,True
rh,uBlScr,0.0,0.0,False
rh,psat,-0.3896174829278646,0.3896174829278646,True
rh,vpd,1.051598317906389,1.051598317906389,True
rh,S_eff,0.5473317022727355,0.5473317022727355,True
rh,t_S_eff,-0.9517759632301942,0.9517759632301942,True
rh,h_uVent,1.7742186968804075,1.7742186968804075,True
rh,dc_uVent,-0.20876995781780924,0.20876995781780924,True
rh,t_uBoil,0.2278433343366978,0.2278433343366978,True
