t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr,step,time_h,controller
16.5,417.73931884765625,90.0,4.199999809265137,0.0,400.0,0.0,1.0,0.9999999999,0.9999999999999487,1.0,9.99998999939855e-07,0.0,0.0,0,0.0,rule_based
14.696432113647461,818.2421264648438,95.23453521728516,4.199999809265137,0.0,400.0,0.06540312923014306,0.9978589232386035,1.0,0.001859967475224936,1.0,6.106226635438361e-14,1.0,1.0,1,0.25,rule_based
15.209996223449707,765.45849609375,92.60179901123047,4.199999809265137,0.0,400.0,0.13052619222005157,0.9914448613738104,0.9999999999999993,0.19406910385080103,1.0,6.9180217110442754e-12,1.0,1.0,2,0.5,rule_based
15.869266510009766,799.17333984375,91.13004302978516,4.199999809265137,0.0,400.0,0.19509032201612825,0.9807852804032304,0.9999999999997,0.010675927407598788,1.0,2.9996285455524685e-09,1.0,1.0,3,0.75,rule_based
16.60794448852539,759.9226684570312,89.95582580566406,4.199999809265137,0.0,400.0,0.25881904510252074,0.9659258262890683,0.9999999997297411,0.2861991791544675,1.0,2.7025821127679706e-06,1.0,1.0,4,1.0,rule_based
17.3306827545166,835.7413330078125,89.05687713623047,4.200001239776611,0.0,400.0,0.3214394653031616,0.9469301294951057,0.9999997897520054,0.0003716928173860915,1.0,0.0020980692386790567,1.0,1.0,5,1.25,rule_based
17.942644119262695,788.4760131835938,88.46240234375,4.225090026855469,0.0,400.0,0.3826834323650898,0.9238795325112867,0.9999410407725243,0.028092128017765342,1.0,0.37092162145761487,1.0,1.0,6,1.5,rule_based
16.651430130004883,662.4595336914062,88.11312866210938,4.250107765197754,0.0,400.0,0.44228869021900125,0.8968727415326884,0.9999999995966138,0.99968504828113,1.0,4.033845572792849e-06,1.0,1.0,7,1.75,rule_based
18.116275787353516,1017.4898681640625,86.34405517578125,4.275125980377197,0.0,400.0,0.49999999999999994,0.8660254037844387,0.9997082714194113,1.9971215161758536e-11,1.0,0.10627718136973954,1.0,1.0,8,2.0,rule_based
17.826148986816406,846.468017578125,86.6415023803711,4.299985408782959,0.0,400.0,0.5555702330196022,0.8314696123025452,0.9999798354743807,0.0001384266286897834,1.0,0.1678104573469963,1.0,1.0,9,2.25,rule_based
17.570768356323242,707.2217407226562,86.2751693725586,4.224514961242676,0.0,400.0,0.6087614290087207,0.7933533402912352,0.999998080996849,0.9809231817406056,1.0,0.01882874346347041,1.0,1.0,10,2.5,rule_based
18.671262741088867,1024.994140625,85.49304962158203,4.149460792541504,0.0,400.0,0.6593458151000688,0.7518398074789774,0.9538132439999364,1.000537486588159e-11,1.0,0.02419883804219944,1.0,1.0,11,2.75,rule_based
19.163253784179688,911.6669921875,85.97637939453125,4.07440710067749,0.0,400.0,0.7071067811865476,0.7071067811865476,0.18188652477742864,3.414443692864363e-07,1.0,0.05696795695553784,1.0,1.0,12,3.0,rule_based
18.65066909790039,789.440673828125,87.8423080444336,3.999115228652954,0.0,400.0,0.7518398074789774,0.6593458151000688,0.9614862531092282,0.025765328753193782,1.0,0.6526185405329855,1.0,1.0,13,3.25,rule_based
16.81937026977539,654.9342651367188,87.75086212158203,3.8485982418060303,0.0,400.0,0.7933533402912352,0.6087614290087207,0.9999999981055723,0.9998424921633614,1.0,1.894391728185507e-05,1.0,1.0,14,3.5,rule_based
18.425870895385742,1013.407470703125,85.81961059570312,3.6984903812408447,0.0,400.0,0.8314696123025451,0.5555702330196024,0.9949731492838835,2.9087140249614458e-11,1.0,0.043297767214711576,1.0,1.0,15,3.75,rule_based
18.712669372558594,891.0916137695312,86.25628662109375,3.548382520675659,0.0,400.0,0.8660254037844386,0.5000000000000001,0.9337899756686036,2.2716156565612216e-06,1.0,0.09187140761081927,1.0,1.0,16,4.0,rule_based
18.47451400756836,761.6851196289062,86.36615753173828,3.400038957595825,0.0,400.0,0.8968727415326884,0.44228869021900125,0.9921542455060934,0.254218151304426,1.0,0.11020895938044813,1.0,1.0,17,4.25,rule_based
18.35146713256836,752.5303344726562,86.00709533691406,3.450611114501953,0.0,400.0,0.9238795325112867,0.38268343236508984,0.9974604276546639,0.44199909070664,1.0,0.060085305396178304,1.0,0.9929993872857812,18,4.5,rule_based
18.779794692993164,832.0780639648438,85.61001586914062,3.5006470680236816,0.0,400.0,0.9469301294951056,0.3214394653031617,0.8837234551247768,0.0005207788600819808,1.0,0.02984398731462987,1.0,0.9035583350420721,19,4.75,rule_based
19.312318801879883,745.7492065429688,85.9307632446289,3.55068302154541,0.0,400.0,0.9659258262890683,0.25881904510252074,0.05332463727351141,0.5966466000114509,0.9999999999997538,0.05261829467896181,1.0,0.3795402719058212,20,5.0,rule_based
18.977678298950195,887.7860717773438,87.73576354980469,3.600998878479004,0.000842801877297461,400.0,0.9807852804032304,0.19509032201612833,0.5512169704956712,3.080047457484699e-06,0.9999998213419184,0.6068968052300548,1.0,0.03839822341750121,21,5.25,rule_based
