method,steps,temp_rmse,temp_mae,co2_rmse,rh_excess_mean,rh_excess_area,temp_low_violations,temp_high_violations,temp_safe_pct,comfort_pct,energy_proxy_sum,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures
initial_pi_sindy_mpc,1344,3.2559679501203163,3.0199593099809827,72.76060825000498,0.22366510118756974,300.60589599609375,10,0,99.25595238095238,9.598214285714286,18137.502462320634,886.1361490333302,4.028852243838554,187.24547960782166,138.843108716545,0
dagger_pi_sindy_mpc,1344,1.0522153273812267,0.7283040427026295,56.57375285469463,0.6454090277353922,867.4297332763672,0,0,100.0,63.39285714285714,20758.519641247025,911.9325176535605,230.44078259645713,107.7307311056221,47.26851857491357,0
