steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,method,draw,seed,test_year,xi_uboil,n_draws_declared,secs,regen_id,config_hash,git_sha,image
5760,8.272454780162786,16.29808683526566,8.025632055102875,4.8156529573846845,2.472794122787152,0.7371849749310388,662109.7776826675,53.507255082052055,2.45728324977013,8.242647075957173,62.37847222222223,2167,2207.252296447754,100.0,0,0.0,63.107638888888886,2125,4708.315032958984,4292,1646.3770795818555,84.7339050819021,1831.6993502356634,1475.1272011379688,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2020,0.0,6,68.4,regen-v2,637c6b535a9e,84a6d05,local
5760,-1.7529599374633853,7.841716323893486,9.59467626135687,6.725737114978417,1.8329898510602751,1.0359492953181788,318569.72565817286,74.73041238864907,3.453164317727263,6.109966170200917,68.80208333333333,1797,1662.6138610839844,99.80902777777779,11,1550.7139892578125,52.22222222222223,2752,5971.810760498047,4560,2299.3973048891576,119.07463159802299,1357.7702601247984,1313.5617265656413,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2021,0.0,6,124.5,regen-v2,637c6b535a9e,84a6d05,local
5760,-0.15897107472317484,9.425800511540963,9.58477158626414,6.138960670668466,2.235477898385663,1.2103330172100104,382923.14578135166,68.2106741185385,4.0344433907000345,7.451592994618878,77.17013888888889,1315,1120.514090538025,99.34027777777777,38,6705.563232421875,61.23263888888889,2233,4966.683937072754,3586,2098.78997413521,139.11873753643172,1655.909554332405,1289.6208110522846,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2022,0.0,6,183.7,regen-v2,637c6b535a9e,84a6d05,local
5760,4.469373945868986,12.810699044606153,8.341325098737167,5.2636191718806105,2.638393714892075,0.43931221196448145,520434.64868712495,58.48465746534012,1.464374039881605,8.794645716306917,74.0625,1494,1169.9096946716309,100.0,0,0.0,47.795138888888886,3007,5451.632164001465,4501,1799.5279221982157,50.495656431997325,1954.3657149683233,1700.9605897168265,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2023,0.0,6,245.7,regen-v2,637c6b535a9e,84a6d05,local
5760,8.341468126185198,16.145283234469208,7.803815108284011,4.706875896159367,2.408041979388239,0.6888972327364049,655902.1314003116,52.29862106843741,2.29632410912135,8.026806597960796,59.42708333333333,2337,2462.185453414917,100.0,0,0.0,63.00347222222222,2131,4846.402484893799,4468,1609.1883407064392,79.18358980606698,1783.7347991246443,1466.3610560201962,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2020,0.0,6,61.9,regen-v2,637c6b535a9e,84a6d05,local
5760,-1.6752841036372352,7.801008085342006,9.47629218897924,6.664799718834973,1.7977507917204671,1.0137416784237998,316915.95346701896,74.05333020927748,3.3791389280793327,5.992502639068224,67.5,1872,1782.8197388648987,99.79166666666667,12,2775.8226318359375,51.770833333333336,2778,6050.63370513916,4662,2278.5640054577216,116.52203196108951,1331.6672532917732,1315.912716109698,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2021,0.0,6,118.4,regen-v2,637c6b535a9e,93ceb06,local
5760,0.1865648912780996,9.517765798319012,9.331200907040913,5.944578836416824,2.184087914826705,1.2025341557973843,386659.2355567099,66.05087596018693,4.008447185991281,7.28029304942235,71.07638888888889,1666,1502.522442817688,99.73958333333334,15,2646.7298583984375,62.25694444444444,2174,5221.974491119385,3855,2032.3346447540418,138.22231678515675,1617.842900001818,1269.412686155092,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2022,0.0,6,176.1,regen-v2,637c6b535a9e,93ceb06,local
5760,4.635886655453872,12.772356656787894,8.136470001334022,5.0966351801781755,2.616357079991512,0.4234777411643338,518876.9891820082,56.62927977975751,1.4115924705477794,8.721190266638374,68.19444444444444,1832,1499.4771814346313,100.0,0,0.0,49.357638888888886,2917,5676.63801574707,4749,1742.439378335167,48.675602464564854,1938.042280192952,1691.4782827768418,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2023,0.0,6,239.6,regen-v2,637c6b535a9e,c791148,local
5760,8.53562547326371,16.55776486163811,8.0221393883744,4.6203528579642485,2.509029685963786,0.8927568444463643,672659.1975040482,51.33725397738054,2.9758561481545476,8.363432286545954,55.36458333333333,2571,2807.0107774734497,100.0,0,0.0,63.94097222222223,2077,5189.60661315918,4648,1579.607813116922,102.61572899561486,1858.540508265734,1343.3922230429034,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2020,0.0,6,63.4,regen-v2,637c6b535a9e,c791148,local
5760,-1.4436636257371325,8.090167883459634,9.533831509196766,6.597599762416126,1.9116113829937735,1.0246203637868665,328663.0702655476,73.30666402684584,3.4154012126228883,6.372037943312579,63.50694444444444,2102,1880.7661876678467,99.84375,9,1001.818359375,53.09027777777777,2702,6522.563949584961,4813,2255.5896618208817,117.7724555317456,1416.0084311939434,1196.6297575140068,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2021,0.0,6,118.6,regen-v2,637c6b535a9e,c791148,local
