n,test_type,delta_mean,delta_median,n_positive,reference_is_constant,delta_ci_lo,delta_ci_hi,p_raw,cohens_dz,rank_biserial,contrast,p_holm
20,paired_wilcoxon,2.5213617240737305,3.051933057540106,17,False,1.5655207458397147,3.4953210182281333,0.0003223419189453125,1.1301357999517143,0.7,knockin-baseline,0.000644683837890625
20,paired_wilcoxon,-0.7645383834402034,0.0,1,False,-2.115190881444704,0.010049302085109879,0.28504940740261275,-0.2841027036967893,-0.3333333333333333,knockout-baseline,0.28504940740261275
