block,condition,epi_mean,epi_std,epi_median,viol_mean,n
horizon,h=12,2.8866103414874074,0.0305634496609127,2.893207072437666,3284.4,5
horizon,h=20,2.769863912446087,0.01552816532381986,2.767978326671838,2858.8,5
horizon,h=48,0.26316570975754516,0.05747235774469839,0.2493018832157866,2044.6,5
horizon,h=96,-1.0329554932410872,0.11971443447967711,-1.032288561573248,2172.2,5
replay,replay_confirmatory,,,,,20
replay,replay_lowthr,,,,,20
