n,test_type,delta_mean,delta_median,n_positive,reference_is_constant,delta_ci_lo,delta_ci_hi,p_raw,cohens_dz,rank_biserial,contrast
20,paired_wilcoxon,0.4251980414212519,0.1789044213215752,15,False,-0.24221427403697615,1.1754551050797724,0.08969497680664062,0.25719649928186666,0.5,ko_uboil-baseline
20,paired_wilcoxon,-0.3545930053007282,-0.09660948487562782,9,False,-1.1987115562613164,0.378528112293885,0.5216732025146484,-0.19303135788000675,-0.1,ko_both-ko_uboil
20,paired_wilcoxon,-0.14792871050269482,-0.002438067032427327,10,False,-0.6207423682131599,0.3209715091331274,0.6215133666992188,-0.13305113098357943,0.0,ko_cross-baseline
