block,condition,epi_mean,epi_std,epi_median,viol_mean,n
guard,guarded,-2.591529599665937,3.4947207056053564,-2.201811787406882,5918.44,600
guard,plain,-1.9052406872519119,4.254803476335606,-2.5746145345116815,5488.463333333333,600
signal,mahalanobis,,,,,600
