method,mean,sd_total,sd_between_seeds,sd_between_draws,sd_within_seed_across_draws,n_seeds,n_draws
sindy_mpc_conf_dagger,0.6902633063040742,3.5138347019918266,3.0963464362856814,0.44767472226551225,1.3053310825471245,20,10
sindy_mpc_conf,-0.858422450900118,3.584381554002964,2.6970443982905326,0.6926582477738906,1.252902490128848,20,10
sindy_mpc_dense,0.3439337446543451,1.4348643970292037,1.4348643970292037,,,20,1
