steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,mode,seed,draw,test_year,secs,regen_id,config_hash,git_sha,image
5760,-3.2029226035522833,7.944272221390515,11.147194824942797,6.11695434571309,1.927656124666301,3.1025843545634055,322736.05899398966,67.96615939681212,10.341947848544686,6.425520415554337,51.31944444444444,2804,4584.908113479614,99.18402777777777,47,28107.862060546875,54.72222222222223,2608,5705.9130859375,5459,2091.2664427002883,356.61889131022565,1427.8934264474465,1334.8125492186214,0,5760,1.0,False,False,complete,adapt,static,static,11,0,2021,93.5,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.0973205500398406,8.090162785194643,11.187483335234484,6.83243621666345,1.6892737781257765,2.6657733404452575,328662.8631485324,75.91595796292722,8.885911134817526,5.630912593752589,64.02777777777777,2072,1622.4781293869019,99.39236111111111,35,20765.913452148438,57.13541666666667,2469,4666.390815734863,4576,2335.8756303106884,306.4107288522687,1251.3139099177993,1343.2606583729962,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,0,2021,93.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,-5.274798135217408,8.365516502287225,13.640314637504632,6.267725376237122,5.687786817917905,1.6848024433496074,339849.10790541855,69.64139306930136,5.616008144498691,18.959289393059684,92.95138888888889,406,316.19392490386963,34.392361111111114,3779,20804568.380615234,41.49305555555556,3370,6992.638916015625,7555,2142.812094506987,193.65545338799075,4213.175419692881,468.7920068645891,0,5760,1.0,False,False,complete,adapt,ekf,ekf,11,0,2021,91.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.6905126493063856,10.253233362578577,12.943746011884965,5.045130731101427,2.330171557779991,5.568443723003545,416537.6053547547,56.05700812334919,18.561479076678484,7.767238525933304,52.62152777777778,2729,5412.400785446167,96.90972222222223,178,150208.5537109375,63.62847222222222,2095,4035.4185066223145,5002,1724.8310195101997,640.051002493929,1726.0530056253742,1269.0948374996283,0,5760,1.0,False,False,complete,adapt,static,static,11,0,2022,93.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.027837889349415,10.704730233134352,13.732568122483766,5.959759712601738,2.0095323141487,5.76327609573333,434879.66572108306,66.21955236224153,19.2109203191111,6.6984410471623335,69.84375,1737,1558.1417989730835,100.0,0,0.0,66.31944444444444,1940,3793.3142318725586,3677,2037.5246889463488,662.4455282147089,1488.5424553069834,1322.128613888448,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,0,2022,89.7,regen-v2,637c6b535a9e,f8f1aef,local
4458,-1.6368052305564633,7.8689484097895495,9.505753640346013,5.887534401373162,3.511035238463845,0.10718400050900612,319676.02914770046,65.41704890414624,0.35728000169668706,11.703450794879483,78.86944818304173,942,825.4477787017822,43.9883355764917,2497,4190943.314819336,68.9995513683266,1382,1825.4615783691406,4821,2012.832274681653,12.320000099351322,2600.7668422898732,611.7675204040121,0,5760,0.774,True,False,env_terminated,adapt,ekf,ekf,11,0,2022,71.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,-1.41526025458461,8.927407926067211,10.342668180651822,4.916006966887629,2.563236872507917,2.8634243412562763,362675.9469964805,54.62229963208477,9.544747804187589,8.544122908359723,51.197916666666664,2811,3727.5447216033936,100.0,0,0.0,51.94444444444445,2768,4825.853710174561,5579,1680.6861421266408,329.1292345779894,1898.6939806341263,1646.0798863185605,0,5760,1.0,False,False,complete,adapt,static,static,11,0,2023,87.8,regen-v2,637c6b535a9e,f8f1aef,local
5760,-0.42592953038440806,9.402421349219996,9.828350879604404,5.399534760805942,2.1584901132993206,2.2703260054991405,381973.3673120623,59.99483067562158,7.567753351663802,7.194967044331069,61.94444444444444,2192,1874.3509550094604,100.0,0,0.0,56.28472222222223,2518,3870.8050651550293,4710,1845.994790301097,260.95701210516745,1598.881565751315,1686.68741766577,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,0,2023,85.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,-5.814485783240751,3.3595756156341334,9.174061398874883,5.271495163968126,3.69168014525503,0.210886089651729,136482.75938513668,58.572168488534736,0.70295363217243,12.305600484183435,97.91666666666666,120,180.55061626434326,62.82986111111111,2141,6984333.713378906,59.32291666666667,2343,4066.6818885803223,4604,1802.2205688073418,24.239780321641746,2734.5778852744525,494.86492952255816,0,5760,1.0,False,False,complete,adapt,ekf,ekf,11,0,2023,92.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.4605760838030193,8.002040828481347,11.462616912284364,6.248516584711153,1.8100506588130418,3.4040496687601705,325082.9086570547,69.42796205234615,11.346832229200569,6.033502196043473,52.79513888888889,2719,4339.044111728668,99.25347222222223,43,29839.542358398438,57.03125,2475,5403.986389160156,5237,2136.2449870052337,391.2700767799075,1340.7782659598693,1346.4133488473585,0,5760,1.0,False,False,complete,adapt,static,static,11,1,2021,88.4,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.1681615008763524,8.06470857323395,11.232870074110302,6.888009886597478,1.6968701339477608,2.6479900535650627,327628.7857876292,76.53344318441643,8.826633511883543,5.656233779825869,64.67013888888889,2035,1563.8068237304688,99.40972222222221,34,17381.675659179688,58.05555555555556,2416,4458.882438659668,4485,2354.8751750362144,304.36667288308996,1256.940840309402,1345.7844546213014,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,1,2021,78.6,regen-v2,637c6b535a9e,f8f1aef,local
5215,-9.484513067521085,4.109265491849368,13.593778559370453,6.249318571903425,4.963365471588746,2.3810945158782815,166938.91060638058,69.43687302114917,7.936981719594272,16.54455157196249,89.66442953020135,539,413.4031057357788,41.45733461169703,3053,11574288.315551758,55.62799616490892,2314,2947.8934059143066,5906,2136.5191696682705,273.68902475208387,3676.567015013945,658.5403852337314,0,5760,0.9054,True,False,env_terminated,adapt,ekf,ekf,11,1,2021,68.4,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.883498948401024,10.330637714898657,13.21413666329968,5.16697183117912,2.1881253884113976,5.85903944370916,419682.1571677579,57.41079812421245,19.530131479030533,7.293751294704659,53.83680555555556,2659,5101.507433414459,96.875,180,139885.7196044922,64.84375,2025,3764.0114555358887,4864,1766.4860961165405,673.4528095179542,1620.8336221914647,1294.2529071710364,0,5760,1.0,False,False,complete,adapt,static,static,11,1,2022,83.8,regen-v2,637c6b535a9e,f8f1aef,local
5760,2.5536746818442118,15.56578030751654,13.012105625672326,5.775558930581575,2.137453208864918,5.099093486225834,632359.8249928594,64.17287700646195,16.996978287419445,7.1248440295497275,71.85763888888889,1621,1369.8508853912354,100.0,0,0.0,66.875,1908,4008.1084060668945,3529,1974.5500612153162,586.1026994862383,1583.298673521361,1328.0715752269534,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,1,2022,87.6,regen-v2,637c6b535a9e,f8f1aef,local
5223,-2.2995276641911833,8.028696819326862,10.328224483518046,6.335369736644095,3.690332739588465,0.3025220072854866,326165.8082851538,70.39299707382328,1.008406690951622,12.30110913196155,78.84357648860808,1105,1120.6304817199707,72.71682940838599,1425,3566367.5954589844,63.450124449550074,1909,2249.4609451293945,4439,2165.938371104058,34.77264446212818,2733.579807021506,962.6221876393316,0,5760,0.9068,True,False,env_terminated,adapt,ekf,ekf,11,1,2022,79.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.0294813160988467,8.521816184727772,10.551297500826617,5.031301084253554,2.384091239491439,3.135905177081625,346198.7825045657,55.90334538059505,10.45301725693875,7.946970798304797,52.44791666666667,2739,3598.6535749435425,100.0,0,0.0,54.53125,2619,4372.039707183838,5358,1720.1029353676677,360.44887081715325,1765.993509866106,1656.5153343945376,0,5760,1.0,False,False,complete,adapt,static,static,11,1,2023,76.5,regen-v2,637c6b535a9e,f8f1aef,local
5760,0.6969949643870588,10.604042704050329,9.90704773966327,5.454863293186051,2.200433264747163,2.2517511817300555,430789.2348520446,60.60959214651168,7.505837272433519,7.334777549157211,64.63541666666667,2037,1688.3357486724854,100.0,0,0.0,57.06597222222223,2473,3784.073928833008,4510,1864.9105284516477,258.8219750500197,1629.9505669645575,1690.2023039500452,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,1,2023,75.4,regen-v2,637c6b535a9e,f8f1aef,local
5760,-5.720335989859859,2.6460357032704733,8.366371693130333,5.775096868796345,2.3936476535160636,0.19762717081792333,107495.20044536298,64.16774298662605,0.6587572360597445,7.9788255117202125,97.93402777777777,119,181.29674434661865,79.75694444444444,1166,3307603.7923583984,59.114583333333336,2355,3719.2682723999023,3640,1974.3920919947664,22.715766767486496,1773.0723364091436,605.3499227166914,0,5760,1.0,False,False,complete,adapt,ekf,ekf,11,1,2023,87.7,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.238575344432432,7.957675327395939,11.196250671828372,6.1253778200094855,1.9178385501712474,3.1530343016476374,323280.56017546,68.05975355566095,10.510114338825458,6.392795167237492,51.66666666666667,2784,4550.699274301529,99.28819444444444,41,25247.178466796875,54.6875,2610,5730.719596862793,5435,2094.146263690957,362.4177357231214,1420.621148425298,1332.2905250997164,0,5760,1.0,False,False,complete,adapt,static,static,11,2,2021,87.5,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.0505361452064257,8.070528423847962,11.121064569054388,6.813099125043754,1.691079779052686,2.616885664957948,327865.2172188235,75.70110138937505,8.722952216526494,5.6369325968422865,64.60069444444444,2039,1563.9888038635254,99.25347222222223,43,29085.699096679688,56.71874999999999,2493,4874.195426940918,4575,2329.2646582006482,300.7914557086151,1252.651687488058,1332.1674257218117,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,2,2021,74.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,-6.605706533687417,6.8831572384086455,13.488863772096062,6.046166720282646,5.733542777558656,1.709154274254762,279628.2628103512,67.17963022536274,5.697180914182541,19.111809258528854,92.62152777777779,425,325.4919729232788,33.71527777777778,3818,21399252.103637695,41.64930555555556,3361,6557.37190246582,7604,2067.0655448387906,196.45451462091978,4247.068723313474,442.1560055678931,0,5760,1.0,False,False,complete,adapt,ekf,ekf,11,2,2021,76.7,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.6694676522874543,10.320944334006322,12.990411986293775,5.0601784821200395,2.3076608330089936,5.622572671164744,419288.36356900685,56.22420535688933,18.741908903882482,7.692202776696646,52.79513888888889,2719,5330.55943441391,96.97916666666667,174,141431.1798095703,63.59375000000001,2097,4005.477020263672,4990,1729.9755501607804,646.2727209109679,1709.3783944111624,1266.87930308669,0,5760,1.0,False,False,complete,adapt,static,static,11,2,2022,79.7,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.855162486620152,10.628507999558169,13.483670486178323,5.94514160529321,2.01312239605364,5.52540648483147,431783.13748205063,66.05712894770234,18.4180216161049,6.710407986845468,69.94791666666667,1731,1526.6708908081055,100.0,0,0.0,66.09375,1953,3900.320827484131,3684,2032.5270446448926,635.1041936168361,1491.2017750845862,1304.7283472043243,0,5760,1.0,False,False,complete,adapt,dagger,dagger,11,2,2022,76.5,regen-v2,637c6b535a9e,f8f1aef,local
5224,0.5450608303144614,12.82867258769986,12.283611757385398,6.316240185956849,5.889709762249485,0.07766180917906511,521164.82387530676,70.18044651063165,0.2588726972635504,19.63236587416495,81.31699846860643,976,827.5086717605591,42.34303215926493,3012,10208811.893676758,59.74349157733537,2103,3036.9329833984375,6091,2159.3983526700376,8.92664475132451,4362.747971095723,860.3700059426628,0,5760,0.9069,True,False,env_terminated,adapt,ekf,ekf,11,2,2022,70.8,regen-v2,637c6b535a9e,f8f1aef,local
