block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
signal,mahalanobis,8,0,2021,2.8595478900837885,0.24702760719498243,0.2465844438946591,0.687297012669625,0.7165938457993012,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.3829320463963173,7.1405912735824275,9.523523319978745,7.330182665246127,2.063535667232196,0.12980498750042171,290086.5204892861,81.4464740582903,0.4326832916680724,6.8784522241073205,58.958333333333336,2364.0,3895.6614912487566,99.28819444444444,41.0,44018.16943359375,67.04861111111111,1898.0,2433.6223373413086,4303.0,2506.0453548563723,14.92011349459565,1528.5449372057756,1481.2952000659684,0.0,5760.0,1.0,False,False,complete,-1.0,86.7
guard,guarded,8,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.280206170124489,7.205879843992813,9.486086014117301,7.197152654384109,1.954845775151967,0.3340875845812261,292738.868662208,79.9683628264901,1.1136252819374204,6.51615258383989,53.263888888888886,2692.0,5800.112001180649,98.83680555555556,67.0,41347.0205078125,59.513888888888886,2332.0,8749.096004486084,5091.0,2460.5650096393715,38.400871802738386,1448.0339081367151,1398.5142574289189,0.0,5760.0,1.0,False,False,complete,-1.0,86.7
signal,mahalanobis,8,0,2022,2.8595478900837885,0.2606713408060282,0.3814270134564213,0.7157582816151092,0.7529034557420627,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.08353422279880263,8.873763817850314,8.79022959505151,6.270653472983201,2.421347269149566,0.09822885291874409,360496.655100169,69.67392747759112,0.327429509729147,8.071157563831887,61.82291666666667,2199.0,3926.2344188690186,98.42013888888889,91.0,84916.27453613281,73.62847222222221,1519.0,1822.3247184753418,3809.0,2143.813152738291,11.290672755406998,1793.5905702574828,1430.8619394656098,0.0,5760.0,1.0,False,False,complete,-1.0,93.0
guard,guarded,8,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5027.0,-0.8045258934339805,7.3565814975610095,8.161107390994989,6.076890650447106,1.747486300086062,0.3367304404618219,298861.123338416,67.52100722719007,1.1224348015394063,5.824954333620207,57.48955639546449,2137.0,6095.580104351044,97.79192361249254,111.0,58465.09826660156,68.21165705191964,1598.0,5912.170356750488,3846.0,2077.569452995133,38.70464833448416,1294.434296239496,1052.439083627815,0.0,5760.0,0.8727,True,False,env_terminated,-1.0,77.1
signal,mahalanobis,8,0,2023,2.8595478900837885,0.13386875941173904,0.09807791779091281,0.6119078196347032,0.6193173596372757,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-1.2854301162980215,7.3663603803337505,8.651790496631772,5.915659363356815,2.734286345243399,0.0018447880315594373,299258.3904510586,65.72954848174238,0.006149293438531458,9.114287817477997,58.732638888888886,2377.0,3144.7129096984863,100.0,0.0,0.0,63.541666666666664,2100.0,2440.939395904541,4477.0,2022.4476453613938,0.21204460280354998,2025.3972923991012,1788.1339249044784,0.0,5760.0,1.0,False,False,complete,-1.0,87.0
guard,guarded,8,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-1.5953876646930487,7.299131770298418,8.894519434991466,5.960903522258665,2.746416620641243,0.1871992920915596,296527.2281683732,66.23226135842961,0.6239976403051988,9.154722068804142,57.62152777777778,2441.0,3773.3257660865784,99.82638888888889,10.0,4141.6910400390625,64.65277777777779,2036.0,4694.561386108398,4487.0,2037.9157341865907,21.517160016531683,2034.3826814154652,1744.7510821050228,0.0,5760.0,1.0,False,False,complete,-1.0,86.1
signal,mahalanobis,8,1,2021,2.8595478900837885,0.24831714308579445,0.2962534759743343,0.6881759545094004,0.7477771882436169,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.321764299467555,7.132804353054906,9.454568652522461,7.2097811212656735,2.0922641675184677,0.1525233637383208,289770.1768428556,80.10867912517415,0.5084112124610694,6.974213891728226,56.90972222222223,2482.0,3946.8213462531567,99.14930555555556,49.0,68078.3076171875,67.70833333333334,1860.0,2488.995765686035,4391.0,2464.882434517584,17.531421084056753,1549.8253079262954,1371.8100290091738,0.0,5760.0,1.0,False,False,complete,-1.0,87.8
guard,guarded,8,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.4941426145625334,6.8600816984432775,9.354224313005812,6.989126950111658,1.9352537732377253,0.42984358965642744,278690.81899925816,77.65696611235177,1.4328119655214249,6.450845910792418,50.642361111111114,2843.0,6615.38841342926,97.84722222222221,124.0,71284.83947753906,58.48958333333333,2391.0,11467.6962890625,5358.0,2389.4451089894437,49.40730921864312,1433.5213137017356,1207.9917131416041,0.0,5760.0,1.0,False,False,complete,-1.0,91.3
signal,mahalanobis,8,1,2022,2.8595478900837885,0.2608540922187487,0.37633359033704966,0.7160466844062855,0.7349397469290628,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
