steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,9.279555043309179,16.523771314697804,7.244216271388622,4.6955002707646205,2.3081228651497177,0.24059313547428324,671278.2096595982,52.172225230718006,0.8019771182476109,7.6937428838323925,63.78472222222222,2086,1912.9642848968506,100.0,0,0.0,63.99305555555556,2074,4326.126968383789,4160,1605.2992379702373,27.65438332368894,1709.720641646184,1293.3140599177989,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2020,0.0676580951160888,424235230,8,100,48.0,regen-v2,637c6b535a9e,a68c4b3,local
5760,-1.5344898769566435,7.817963547908747,9.35245342486539,6.638579236874603,1.6741220668399117,1.0397521211508762,317604.76913379284,73.76199152082891,3.4658404038362542,5.5804068894663725,73.28125,1539,988.3156452178955,100.0,0,0.0,51.94444444444445,2768,6230.471717834473,4307,2269.599738997955,119.51173794511958,1240.0904191578234,1178.4147887666707,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2021,0.0676580951160888,424235230,8,100,49.7,regen-v2,637c6b535a9e,a68c4b3,local
5760,5.643777892002091,15.315895961353657,9.672118069351567,5.729821757531262,2.212104502050065,1.7301918097702413,622208.2734299924,63.664686194791805,5.767306032567471,7.373681673500218,77.36111111111111,1304,1061.152198791504,99.89583333333333,6,48.91412353515625,58.78472222222222,2374,5189.775043487549,3684,1958.913421164569,198.872621704694,1638.5959286320115,1170.3493386851305,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2022,0.0676580951160888,424235230,8,100,46.7,regen-v2,637c6b535a9e,a68c4b3,local
5760,5.157089965349783,12.882575080255256,7.725485114905471,5.0656632410994415,2.501373386156527,0.15844848764950342,523354.61263536976,56.28514712332713,0.5281616254983448,8.337911287188422,70.06944444444444,1724,1237.5043659210205,100.0,0,0.0,50.15625,2871,5561.042381286621,4595,1731.850680363481,18.212469779988545,1852.869174384754,1573.1069849869427,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2023,0.0676580951160888,424235230,8,100,54.2,regen-v2,637c6b535a9e,546e783,local
5760,9.01358889680191,16.61716957999347,7.603580683191559,4.708995789004294,2.5191121562048675,0.37547273798239855,675072.5141872347,52.32217543338104,1.2515757932746618,8.397040520682893,57.986111111111114,2420,2450.361330986023,100.0,0,0.0,64.20138888888889,2062,5012.057678222656,4482,1609.9130903408695,43.15778611477586,1866.009003758119,1422.1374410063638,0,5760,1.0,False,False,complete,sindy_mpc_conf,0,2020,0.0,418524381,8,100,41.3,regen-v2,637c6b535a9e,546e783,local
5760,-1.4792359825442556,7.975379834418411,9.454615816962667,6.652979712239191,1.8598261669167568,0.9418099378067187,323999.80577324796,73.92199680265769,3.1393664593557293,6.19942055638919,66.68402777777777,1919,1607.2061414718628,99.91319444444444,5,50.259246826171875,54.479166666666664,2622,6196.25284576416,4546,2274.5229788010283,108.25401567315426,1377.6490126214194,1271.7958153623265,0,5760,1.0,False,False,complete,sindy_mpc_conf,0,2021,0.0,418524381,8,100,39.3,regen-v2,637c6b535a9e,546e783,local
5760,0.13094799521566802,9.525149702479297,9.394201707263628,5.938596531401241,2.2791591098774693,1.1764460659849183,386959.2066632214,65.98440590445823,3.9214868866163943,7.597197032924898,70.41666666666667,1704,1580.0978498458862,99.30555555555556,40,4374.479736328125,63.17708333333333,2121,4796.060321807861,3865,2030.289413172456,135.22368570310002,1688.2660063603614,1238.376872952869,0,5760,1.0,False,False,complete,sindy_mpc_conf,0,2022,0.0,418524381,8,100,49.5,regen-v2,637c6b535a9e,546e783,local
5760,4.974929961383477,13.102560496893448,8.127630535509969,5.131861112729197,2.7207057686331177,0.2750636541476539,532291.5201862963,57.020679030324416,0.9168788471588463,9.06901922877706,64.93055555555556,2020,1572.7858066558838,99.94791666666667,3,34.7147216796875,52.5,2736,5401.432815551758,4759,1754.4824322395245,31.616511960683454,2015.3376068444597,1647.3778392030367,0,5760,1.0,False,False,complete,sindy_mpc_conf,0,2023,0.0,418524381,8,100,57.3,regen-v2,637c6b535a9e,546e783,local
5760,4.508733655098398,12.243854226644746,7.735120571546349,4.755424205892002,2.8719775342578955,0.10771883139645064,497406.57795744285,52.83804673213336,0.35906277132150216,9.57325844752632,64.34027777777777,2054,2323.558843612671,100.0,0,0.0,60.954861111111114,2249,5805.632026672363,4303,1625.7860531610213,12.381474826045793,2127.3907659071715,1498.1318861130117,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2020,0.039735383566505106,3288969182,8,100,51.3,regen-v2,637c6b535a9e,546e783,local
5760,-2.8629301925368598,5.99706817743386,8.859998369970722,5.973838860767442,2.126470110279447,0.75968939892383,243630.8947082506,66.37598734186047,2.5322979964127668,7.088233700931491,68.78472222222223,1798,1795.8548431396484,99.39236111111111,35,2387.7141723632812,63.645833333333336,2094,6310.859169006348,3927,2042.3380722693105,87.32062049882158,1575.1630452060142,1259.8163277914548,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2021,0.039735383566505106,3288969182,8,100,39.0,regen-v2,637c6b535a9e,546e783,local
5760,0.4396856871414698,9.775045669019175,9.335359981877705,5.692552077355045,2.462183546929692,1.1806243575929685,397111.2303039039,63.25057863727828,3.935414525309895,8.207278489765642,78.57638888888889,1234,1289.1147575378418,99.79166666666667,12,632.8673095703125,61.77083333333333,2202,7106.760772705078,3448,1946.17165028727,135.7039491233494,1823.839663386892,1299.8685912617066,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2022,0.039735383566505106,3288969182,8,100,45.2,regen-v2,637c6b535a9e,546e783,local
