steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,lam,seed,test_year,xi_uboil,rng_seed,nonzero,rollout_rmse,regen_id,config_hash,git_sha,image,xi_donor
5760,3.749458971590006,11.174324846007966,7.424865874417959,4.90841014369823,2.507795568556017,0.008660162163712083,453956.94686907367,54.53789048553589,0.02886720721237361,8.35931856185339,65.06944444444444,2012,2271.4901962280273,99.27083333333333,42,6981.1689453125,63.24652777777777,2117,4937.582866668701,4171,1678.0889383730491,0.9954209535961968,1857.6263476608876,1529.2408951164678,0,5760,1.0,False,False,complete,lambda,lam=1e-06,1e-06,0,2020,0.03973538086311972,3875786502.0,54.0,9.638833753541897,regen-v2,637c6b535a9e,86e95e8,local,
5760,3.922586061381697,11.415202999136671,7.492616937754973,4.94231150828535,2.541955367467941,0.008350062001682817,463742.6218399273,54.91457231428167,0.027833540005609392,8.473184558226471,65.27777777777779,2000,2249.1272687911987,99.27083333333333,42,6782.1041259765625,63.71527777777778,2090,4762.728618621826,4132,1689.6791489057778,0.9597772485818872,1882.9299019927985,1524.9682711271364,0,5760,1.0,False,False,complete,lambda,lam=0.001,0.001,0,2020,0.039735383566505106,596050374.0,48.0,9.627974596012573,regen-v2,637c6b535a9e,86e95e8,local,
5760,7.735685691136648,15.900024363369132,8.164338672232482,5.214621845383624,2.93628086894039,0.01343595790846854,645938.4897618709,57.94024272648471,0.0447865263615618,9.787602896467966,64.18402777777777,2063,2032.4967498779297,100.0,0,0.0,72.55208333333333,1581,2924.7342567443848,3644,1782.7766992999311,1.544362990490575,2175.022866166776,1486.5629331612106,0,5760,1.0,False,False,complete,lambda,lam=0.01,0.01,0,2020,0.04019382680448582,1926287723.0,40.0,10.058724717811195,regen-v2,637c6b535a9e,86e95e8,local,
5760,7.3773577876736915,16.012013788345133,8.634656000671445,5.147852666914881,3.4727635521876183,0.014039781568944453,650488.0601515211,57.198362965720904,0.04679927189648151,11.575878507292062,63.73263888888889,2089,2018.176661491394,99.25347222222223,43,7114.3135986328125,72.29166666666667,1596,3010.896873474121,3728,1759.9496300995197,1.6137679572081924,2572.4174456196106,1485.4006660776456,0,5760,1.0,False,False,complete,lambda,lam=0.02,0.02,0,2020,0.04019382680448582,3988966202.0,38.0,9.934282398821388,regen-v2,637c6b535a9e,86e95e8,local,
5760,7.499229100726737,16.153285308194867,8.654056207468132,5.143106596163831,3.4988278796428025,0.012121731661498197,656227.2156454165,57.145628846264785,0.040405772204993994,11.662759598809343,63.57638888888889,2098,1996.7265186309814,98.97569444444444,59,8979.334594726562,71.37152777777777,1649,3468.9187393188477,3806,1758.3270419502096,1.3933024706490449,2591.724356016093,1485.4612047246467,0,5760,1.0,False,False,complete,lambda,lam=0.03,0.03,0,2020,0.04019382680448582,1539248911.0,37.0,9.66867149466056,regen-v2,637c6b535a9e,86e95e8,local,
5760,6.356800316560159,16.459999176236764,10.103198859676608,4.638507697973762,4.7921950920726815,0.6724960696301626,668687.4665346186,51.53897442193069,2.2416535654338756,15.973983640242272,53.78472222222223,2662,3176.0145950317383,70.36458333333333,1707,1967629.5932617188,63.59375000000001,2097,4467.925926208496,6466,1585.8145965421327,77.29839874772432,3549.7741420078105,1359.4962156126635,0,5760,1.0,False,False,complete,lambda,lam=0.04,0.04,0,2020,0.0,2946892129.0,32.0,8.595946759588337,regen-v2,637c6b535a9e,86e95e8,local,
5760,8.782036955401281,16.129309851987458,7.347272896586178,4.840478219114119,2.293492054996063,0.2133026224759955,655253.2127369905,53.78309132349021,0.7110087415866516,7.644973516653543,60.05208333333333,2301,2343.6000452041626,100.0,0,0.0,64.91319444444444,2021,4641.487911224365,4322,1654.8643490374807,24.51754283024968,1698.8830035280187,1395.8137663248565,0,5760,1.0,False,False,complete,lambda,lam=0.05,0.05,0,2020,0.0,3042305639.0,27.0,9.263857458963292,regen-v2,637c6b535a9e,86e95e8,local,
5760,-0.32629756627197404,12.553164343913696,12.879461910185668,4.956317870207422,2.307302866549374,5.615841173428873,509972.3014714939,55.070198557860245,18.719470578096242,7.69100955516458,43.36805555555556,3262,5505.42246055603,100.0,0,0.0,72.79513888888889,1567,4051.2879600524902,4829,1694.467647315168,645.4989856337099,1709.1132338323291,1043.8486068724567,0,5760,1.0,False,False,complete,lambda,lam=0.06,0.06,0,2020,0.0,118944049.0,25.0,9.753850089476265,regen-v2,637c6b535a9e,unknown,local,
5760,5.359715936712186,13.13635512620445,7.776639189492265,5.30151483635252,2.4750129411649797,0.00011141197476536034,533664.4270020558,58.90572040391689,0.00037137324921786784,8.250043137216599,55.95486111111111,2537,2799.8319849967957,100.0,0,0.0,75.50347222222223,1411,3768.545139312744,3948,1812.48370527085,0.01280597400684211,1833.3429199309942,1410.268772125888,0,5760,1.0,False,False,complete,lambda,lam=0.07,0.07,0,2020,0.0,2617197429.0,24.0,9.761418540225245,regen-v2,637c6b535a9e,unknown,local,
5760,2.4914526249369446,5.303440256178797,2.8119876312418524,0.30546122151572624,2.1671647167967647,0.339361692929361,215452.26040726365,3.3940135723969584,1.13120564309787,7.223882389322549,31.163194444444443,3965,19158.43688249588,97.13541666666666,165,66931.26232910156,27.48263888888889,4177,27167.973663330078,8307,104.43118674265442,39.00709113417983,1605.307198317807,1393.6495308704891,0,5760,1.0,False,False,complete,lambda,lam=0.08,0.08,0,2020,0.0,517118076.0,23.0,8.207908552208954,regen-v2,637c6b535a9e,unknown,local,
5760,3.4133776354712735,5.994778744784164,2.5814011093128917,0.30840612022236286,1.9345960627827088,0.33839892630781976,243537.8865068567,3.4267346691373652,1.127996421026066,6.44865354260903,32.65625,3879,17628.1374835968,97.11805555555556,166,62035.24475097656,24.49652777777778,4349,31406.814880371094,8394,105.43798989785603,38.896428287473576,1433.0341209865683,1360.1968806371353,0,5760,1.0,False,False,complete,lambda,lam=0.1,0.1,0,2020,0.0,2118900532.0,20.0,17.08541525194273,regen-v2,637c6b535a9e,unknown,local,
5760,5.148965200643344,6.234324801050181,1.0853596004068369,0.39311816874186756,0.24468056381178596,0.4475608678531833,253269.4450426636,4.367979652687417,1.491869559510611,0.8156018793726199,33.576388888888886,3826,16870.621643543243,92.60416666666667,426,486306.9696044922,25.27777777777778,4304,30402.21434020996,8556,134.3993739475149,51.44377792276164,181.24486239347974,1242.8423455091875,0,5760,1.0,False,False,complete,lambda,lam=0.15,0.15,0,2020,0.0,2719925583.0,13.0,14.68749044217017,regen-v2,637c6b535a9e,unknown,local,
5760,-0.8728534533912405,2.9418139555295464,3.8146674089207875,1.3040709831734008,0.7386358887026825,1.7719605370447038,119511.19194338782,14.489677590815564,5.906535123482346,2.4621196290089418,27.06597222222222,4201,22436.838296175003,79.14930555555556,1201,1964702.4709472656,28.506944444444443,4118,23005.322956085205,9520,445.8362338619556,203.67362475934007,547.1376953739232,872.2022845675557,0,5760,1.0,False,False,complete,lambda,lam=0.2,0.2,0,2020,0.0,3698045214.0,11.0,11.770905701022828,regen-v2,637c6b535a9e,unknown,local,
5760,8.765566660764057,16.23948558824833,7.473918927484272,4.962176075977668,2.3582534477636132,0.1534894037429909,659729.1020225884,55.1352897330852,0.5116313458099696,7.860844825878711,63.107638888888886,2125,2092.410181045532,100.0,0,0.0,65.92013888888889,1963,4319.366191864014,4088,1696.4704525096936,17.64246022092136,1746.854405952619,1410.7339791022018,0,5760,1.0,False,False,complete,knock,baseline,,0,2020,0.0,418524381.0,,,regen-v2,637c6b535a9e,unknown,local,0.03973538086311972
5760,8.765566660764057,16.23948558824833,7.473918927484272,4.962176075977668,2.3582534477636132,0.1534894037429909,659729.1020225884,55.1352897330852,0.5116313458099696,7.860844825878711,63.107638888888886,2125,2092.410181045532,100.0,0,0.0,65.92013888888889,1963,4319.366191864014,4088,1696.4704525096936,17.64246022092136,1746.854405952619,1410.7339791022018,0,5760,1.0,False,False,complete,knock,knockout,,0,2020,0.0,418524381.0,,,regen-v2,637c6b535a9e,unknown,local,0.03973538086311972
5760,8.753600306889835,16.068254357317805,7.31465405042797,5.0159607294469755,2.2648765593497293,0.03381676163126527,652772.8332660359,55.732896993855285,0.11272253877088424,7.549588531165765,65.52083333333333,1986,1777.823790550232,100.0,0,0.0,66.44097222222223,1933,4342.377113342285,3919,1714.8583680620045,3.8869841151463866,1677.6863401152448,1393.3493332745795,0,5760,1.0,False,False,complete,knock,knockin,,0,2020,0.03973538086311972,418524381.0,,,regen-v2,637c6b535a9e,unknown,local,0.03973538086311972
5760,3.954486364010619,10.587603732655705,6.633117368645086,4.823843196609662,1.802679201123682,0.006594970911741257,430121.401639138,53.59825774010736,0.021983236372470856,6.008930670412274,66.21527777777779,1946,2048.077714920044,100.0,0,0.0,60.08680555555556,2299,6400.1995277404785,4245,1649.1771605877125,0.7580426549986048,1335.3179266673098,1508.8119034936617,0,5760,1.0,False,False,complete,cross,baseline,,0,2020,0.07577820220652949,,,,regen-v2,637c6b535a9e,unknown,local,
5760,4.408702019306374,12.154448892366322,7.745746873059948,5.405649589013983,2.1329078967334167,0.20718938731254774,493774.4862523818,60.06277321126648,0.6906312910418259,7.109692989111389,63.17708333333333,2121,2502.6233501434326,98.76736111111111,71,74183.3291015625,56.35416666666667,2514,6771.260829925537,4706,1848.0853300399626,23.814872069586723,1579.93177528397,1537.2400945901675,0,5760,1.0,False,False,complete,cross,ko_uboil,,0,2020,0.0,,,,regen-v2,637c6b535a9e,unknown,local,
5760,3.59674969847718,10.164315246519536,6.5675655480423565,4.827887722821032,1.7333831000088686,0.006294725212454796,412925.3068898561,53.64319692023369,0.02098241737484932,5.777943666696229,66.85763888888889,1909,1963.7871761322021,100.0,0,0.0,60.27777777777777,2288,6597.28401184082,4197,1650.5599051489357,0.7235316132618081,1283.9874810809886,1495.7023708780766,0,5760,1.0,False,False,complete,cross,ko_cross,,0,2020,0.07577820220652949,,,,regen-v2,637c6b535a9e,unknown,local,
5760,4.859164928027117,11.730481625929542,6.871316697902426,4.737104575372801,2.021817923797676,0.11239419873194795,476550.8160533877,52.63449528192002,0.3746473291064932,6.739393079325588,63.923611111111114,2078,2357.132381439209,99.79166666666667,12,3928.0208740234375,58.14236111111111,2411,6329.914867401123,4501,1619.5229309415831,12.918873431160716,1497.6429073005588,1537.3735610051679,0,5760,1.0,False,False,complete,cross,ko_both,,0,2020,0.0,,,,regen-v2,637c6b535a9e,unknown,local,
5760,5.878543396501442,14.9659257645973,9.08738236809586,5.482812009819549,3.6009740847944625,0.0035962734818458554,607990.7341867653,60.920133442439436,0.01198757827281952,12.003246949314875,59.392361111111114,2339,2848.1983251571655,96.52777777777779,200,74144.63073730469,72.76041666666667,1569,2862.493579864502,4108,1874.4656440564713,0.4133647775783493,2667.38821097525,1490.9833030902541,0,5760,1.0,False,False,complete,lambda,lam=1e-06,1e-06,1,2020,0.03768169652831373,476854477.0,54.0,13.945697575092364,regen-v2,637c6b535a9e,unknown,local,
5760,5.876695263286397,14.964656182282228,9.087960918995833,5.482555037884357,3.60179970701501,0.003606174096465111,607939.1574052155,60.917278198715074,0.012020580321550369,12.005999023383367,59.392361111111114,2339,2848.388735771179,96.52777777777779,200,74159.81701660156,72.72569444444444,1571,2861.9754371643066,4110,1874.3777908518039,0.41450277488876097,2667.999782848581,1490.6352040938361,0,5760,1.0,False,False,complete,lambda,lam=0.001,0.001,1,2020,0.03768169844083889,3285011554.0,51.0,13.942289825892416,regen-v2,637c6b535a9e,unknown,local,
5760,6.704622160707395,15.590397021560683,8.885774860853289,5.503976331376858,3.3810463354339255,0.0007521940425038338,633359.8790009028,61.15529257085398,0.0025073134750127793,11.27015445144642,58.78472222222222,2374,2879.2390127182007,97.70833333333333,132,67405.22143554688,72.63888888888889,1576,2839.381206512451,4082,1881.7013098175362,0.08645908748234321,2504.4787674714516,1497.8168983080138,0,5760,1.0,False,False,complete,lambda,lam=0.01,0.01,1,2020,0.03782694555918662,1671972060.0,44.0,14.197810169013055,regen-v2,637c6b535a9e,unknown,local,
5760,3.77101701054739,13.18251674032605,9.411499729778662,5.546647760856495,3.848054697779265,0.01679727114289999,535539.7425757458,61.62941956507217,0.055990903809666634,12.82684899259755,63.142361111111114,2123,2258.4804635047913,95.85069444444444,239,80281.40270996094,69.72222222222221,1744,3155.338798522949,4106,1896.289833157064,1.9307208352181506,2850.4108864649434,1501.3822211449533,0,5760,1.0,False,False,complete,lambda,lam=0.02,0.02,1,2020,0.03872554174219547,87321045.0,37.0,10.611728544568471,regen-v2,637c6b535a9e,unknown,local,
5760,3.9424856833012276,13.470524013656089,9.52803833035486,5.495404570320016,4.015726434232847,0.016907325801998378,547240.0380547786,61.06005078133351,0.05635775267332793,13.385754780776157,64.44444444444444,2048,2145.488739490509,94.34027777777779,326,113538.21899414062,68.35069444444444,1823,3292.1731338500977,4197,1878.7707932136445,1.9433707908385074,2974.6121732732636,1521.9750966435079,0,5760,1.0,False,False,complete,lambda,lam=0.03,0.03,1,2020,0.03872554174219547,4183310868.0,35.0,12.424934141609878,regen-v2,637c6b535a9e,unknown,local,
