metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,block,condition,recipe,seed,test_year,xi_uboil,rng_seed,traj_steps,regen_id,config_hash,git_sha,image
rollout,4,co2,150.49399803347129,122.55374584595772,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,rh,7.798593954554007,6.1217788784288825,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,t_in,2.6965066703733953,2.1599202564475726,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,co2,253.9322712641167,212.7573949023758,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,rh,8.888043618277841,7.310828678874774,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,t_in,2.6795831747799057,2.1804188052232627,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,co2,384.29935303286095,313.3627803151199,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,rh,8.830118516340512,7.159943179814026,,0.0,20.0,replay,replay_confirmatory,confirmatory,1,2020,0.0,56809052,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,t_in,1.874569355712039,1.4596293463810455,0.823919995222999,,,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,co2,103.24637859187064,85.17304938335072,0.705302613050012,,,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,rh,6.448417936436747,4.5966210667361596,0.6524935853652662,,,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,t_in,2.6030942588593384,2.0959978692282073,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,co2,157.58987500893113,126.62848599069676,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,rh,7.331072477214125,5.81835292029921,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,t_in,2.4998736677965416,2.02165248401896,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,co2,297.3297164787738,237.87743913442517,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,rh,7.965916168982708,6.506229209510619,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,t_in,2.5023506446960373,2.0257569628648424,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,co2,434.79407934802254,361.0386182000345,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,rh,8.009402546222343,6.361729938882458,,0.0,20.0,replay,replay_lowthr,lowthr,1,2020,0.03768169652831373,2804785410,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,t_in,1.7692307628232404,1.373238997758494,0.8422384903021255,,,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,co2,104.99389327678924,83.3763148793065,0.6695734038752836,,,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,rh,6.365571201225698,4.504098649196783,0.6714805977775044,,,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,t_in,2.180742789195659,1.8193883588930462,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
