steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,objective,secs,regen_id,config_hash,git_sha,image
5760,9.406581375004086,16.518713739007215,7.11213236400313,4.890995475343818,2.1922377194683387,0.028899169190973045,671072.7456471681,54.344394170486865,0.09633056396991016,7.307459064894463,62.65625,2151,1881.9722681045532,100.0,0,0.0,69.44444444444444,1760,3427.083240509033,3911,1672.135205398953,3.3217435815090086,1623.8797927564633,1213.5737034793683,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2020,0.0676580951160888,424235230,20,100,priced,73.6,regen-v2,637c6b535a9e,fb28596,local
5760,-1.3687314995938704,7.7066503976302005,9.07538189722407,6.831697379790249,1.5919912960160532,0.6516932214177679,313082.6724037269,75.90774866433611,2.172310738059226,5.3066376533868445,73.75,1512,944.5975656509399,100.0,0,0.0,54.479166666666664,2622,5471.253448486328,4134,2335.623036457675,74.9072667300765,1179.2528118614312,1131.9427589183983,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2021,0.0676580951160888,424235230,20,100,priced,64.5,regen-v2,637c6b535a9e,fb28596,local
5760,5.989559423845306,15.068303152590685,9.07874372874538,6.056775723418291,2.136487253215534,0.8854807521115551,612149.8155739966,67.297508037981,2.9516025070385172,7.121624177385114,78.02083333333333,1266,997.4312658309937,100.0,0,0.0,64.49652777777779,2045,4321.658405303955,3311,2070.6925554468,101.77939662033012,1582.583150919804,1127.9647902096208,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2022,0.0676580951160888,424235230,20,100,priced,69.8,regen-v2,637c6b535a9e,fb28596,local
5760,5.221544644565878,12.926422339209989,7.704877694644111,5.2367300516144315,2.3841044236983993,0.0840432193312794,525135.9075304058,58.185889462382576,0.280144064437598,7.947014745661331,69.94791666666667,1731,1189.9233703613281,100.0,0,0.0,52.170138888888886,2755,4767.999008178711,4486,1790.335060453031,9.660140096665286,1766.0032770392359,1503.8228877463876,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2023,0.0676580951160888,424235230,20,100,priced,66.8,regen-v2,637c6b535a9e,fb28596,local
5760,3.922586061381697,11.415202999136671,7.492616937754973,4.94231150828535,2.541955367467941,0.008350062001682817,463742.6218399273,54.91457231428167,0.027833540005609392,8.473184558226471,65.27777777777779,2000,2249.1272687911987,99.27083333333333,42,6782.1041259765625,63.71527777777778,2090,4762.728618621826,4132,1689.6791489057778,0.9597772485818872,1882.9299019927985,1524.9682711271364,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2020,0.039735383566505106,3288969182,20,100,priced,62.8,regen-v2,637c6b535a9e,75af173,local
5760,-3.060764768941856,5.376283890590924,8.437048659532781,6.138805450913003,1.7305238064309698,0.5677194021888078,218411.5330552563,68.20894945458892,1.892398007296026,5.768412688103233,68.42013888888889,1819,1854.124903678894,98.90625,63,22011.328979492188,66.52777777777777,1928,4662.79695892334,3810,2098.7369065389375,65.2551037154427,1281.869486107764,1284.9433311121857,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2021,0.039735383566505106,3288969182,20,100,priced,60.4,regen-v2,637c6b535a9e,75af173,local
5760,0.41722943777525634,8.801325432709303,8.384095994934047,5.975554751547545,2.1310538544459683,0.27748738894053426,357553.84570381546,66.39505279497273,0.9249579631351142,7.103512848153228,79.02777777777777,1208,1306.5612649917603,99.07986111111111,53,9580.421630859375,65.41666666666667,1992,5437.16796875,3253,2042.9247000171888,31.895102231923275,1578.5584108105475,1290.441137123633,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2022,0.039735383566505106,3288969182,20,100,priced,64.5,regen-v2,637c6b535a9e,75af173,local
5760,-0.8573014480789007,6.2785549844404684,7.135856432519368,5.032750664065925,2.0458633872185104,0.05724238123493269,255066.29624289402,55.91945182295473,0.19080793744977564,6.8195446240617015,76.64930555555556,1345,1356.8414602279663,99.60069444444444,23,4913.5487060546875,45.34722222222222,3148,8707.692050933838,4516,1720.5985175887674,6.579584014085832,1515.454360906885,1729.1435055694647,0,5760,1.0,False,False,complete,sindy_mpc_dense,0,2023,0.039735383566505106,3288969182,20,100,priced,73.0,regen-v2,637c6b535a9e,23d1f5d,local
5760,8.910846287306086,16.234302857820822,7.323456570514734,4.555706799998978,2.7677497705157554,0.0,659518.5535989709,50.61896444443309,0.0,9.225832568385853,52.63888888888889,2728,4328.0247592926025,99.39236111111111,35,14048.011962890625,69.14930555555556,1777,3408.554641723633,4540,1557.5065990762005,0.0,2050.185015099191,1475.3871364666104,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,1,2020,0.0,2726711412,20,100,priced,87.3,regen-v2,637c6b535a9e,23d1f5d,local
5760,-1.1745070608617494,7.338021301440405,8.512528362302154,6.549868302801565,1.938558946808344,0.02410111269224435,298107.11537101644,72.77631447557295,0.08033704230748116,6.461863156027813,56.52777777777778,2504,3896.590271472931,99.98263888888889,1,153.626220703125,57.395833333333336,2454,4633.2333984375,4959,2239.2712154183146,2.7702428462954747,1435.9695897856363,1397.0812354466655,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,1,2021,0.0,2726711412,20,100,priced,74.4,regen-v2,637c6b535a9e,23d1f5d,local
