steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,objective,secs,regen_id,config_hash,git_sha,image
5760,-2.0916437440900104,10.549554948286204,12.641198692376214,8.005710433838201,2.2455809265423836,2.38990733199563,428575.6697741271,88.9523381537578,7.966357773318768,7.485269755141279,82.89930555555556,985,789.8433437347412,92.04861111111111,458,231476.17712402344,76.44097222222223,1357,2098.7611389160156,2800,2736.995020960937,274.70199187604885,1663.393279881317,743.9597944606116,0,5760,1.0,False,False,complete,nn_mpc,0,2020,,-1,20,100,priced,1815.0,regen-v2,637c6b535a9e,c49536f,local
5760,-6.122827533185818,9.364463448238439,15.487290981424259,9.667915100824825,2.1578525877642423,3.6615232928351924,380431.32758468663,107.42127889805361,12.205077642783975,7.1928419592141415,90.64236111111111,539,269.1958808898926,84.67013888888889,883,453818.5764160156,68.99305555555556,1786,2710.288848876953,3208,3305.2701206228858,420.86474684414645,1598.409323361033,614.3538388181669,0,5760,1.0,False,False,complete,nn_mpc,0,2021,,-1,20,100,priced,1838.7,regen-v2,637c6b535a9e,c49536f,local
5414,-5.1568598961771,10.177005493737227,15.33386538991433,8.602560257379835,1.9141649472840607,4.817140185250432,413440.84818307485,95.58400285977595,16.057133950834775,6.380549824280203,87.14444033985961,696,854.8688344955444,87.60620613224972,671,322244.61657714844,74.91688215736978,1358,2204.9581909179688,2725,2941.046242140761,553.6942743606505,1417.8999622544577,627.7918116502528,0,5760,0.9399,True,False,env_terminated,nn_mpc,0,2022,,-1,20,100,priced,1692.4,regen-v2,637c6b535a9e,c49536f,local
5760,-3.3090252804281257,8.233269996844433,11.54229527727256,7.892434257302388,2.0261385836126675,1.6237224363575025,334476.5936218051,87.69371397002654,5.4124081211916755,6.753795278708892,85.64236111111111,827,402.1583557128906,95.81597222222223,241,101542.22998046875,63.36805555555556,2110,3157.5724601745605,3178,2698.268122705256,186.63476327208423,1500.843395815681,828.1275129730211,0,5760,1.0,False,False,complete,nn_mpc,0,2023,,-1,20,100,priced,1886.4,regen-v2,637c6b535a9e,c49536f,local
5760,0.8167493569943819,11.385009825254057,10.568260468259677,7.064666011798469,2.473879459912497,1.0297149965487098,462516.0241509461,78.496289019983,3.432383321829033,8.246264866374991,76.80555555555556,1336,1123.9050369262695,91.71875,477,338476.4644165039,80.3125,1134,1434.8460731506348,2947,2415.2704320046355,118.35804548753451,1832.5033056814552,709.5291309710983,0,5760,1.0,False,False,complete,nn_mpc,1,2020,,-1,20,100,priced,1882.1,regen-v2,637c6b535a9e,c49536f,local
5760,-4.012444295675969,8.936968424230745,12.949412719906716,8.668186469323711,2.1480091783568667,2.1332170722261377,363064.342234374,96.31318299248568,7.1107235740871255,7.1600305945228895,85.36458333333333,843,564.543942451477,88.52430555555556,661,394189.24743652344,68.35069444444444,1823,2488.2344360351562,3327,2963.4825547730916,245.1973645615447,1591.1179100919544,558.9046054474029,0,5760,1.0,False,False,complete,nn_mpc,1,2021,,-1,20,100,priced,1855.6,regen-v2,637c6b535a9e,c49536f,local
5027,-1.6300735373343107,10.002590591168918,11.63266412850323,7.439300570860537,1.7508782705908006,2.442485287051892,406355.24276623735,82.65889523178375,8.141617623506308,5.836260901969336,81.10204893574696,950,647.1737813949585,92.48060473443405,378,222072.54943847656,74.77620847423911,1268,1770.1318244934082,2596,2543.3506219288297,280.7454358527073,1296.946867199234,540.8780103965771,0,5760,0.8727,True,False,env_terminated,nn_mpc,1,2022,,-1,20,100,priced,1582.2,regen-v2,637c6b535a9e,c49536f,local
5760,-0.851874476417728,9.645809816938675,10.497684293356402,7.4764157162026965,2.249986919229341,0.771281657924366,391861.02381313365,83.07128573558552,2.5709388597478866,7.499956397431137,84.58333333333333,888,554.7143211364746,96.47569444444444,203,141987.04516601562,68.45486111111111,1817,2252.6291999816895,2908,2556.039560544142,88.65306430385283,1666.6569775151092,763.4885339170924,0,5760,1.0,False,False,complete,nn_mpc,1,2023,,-1,20,100,priced,1825.8,regen-v2,637c6b535a9e,c49536f,local
5760,-1.7529555299986135,11.528537276863393,13.281492806862008,7.720837505342871,2.5515622513154965,3.0090930502036395,468346.82687257545,85.78708339269858,10.030310167345466,8.50520750438499,86.90972222222221,754,483.69325828552246,88.09027777777779,686,251018.12719726562,81.11111111111111,1088,1253.0778770446777,2528,2639.6025668601,345.87276462616455,1890.0461125916856,643.7490731741977,0,5760,1.0,False,False,complete,nn_mpc,2,2020,,-1,20,100,priced,1794.9,regen-v2,637c6b535a9e,c49536f,local
5760,-5.633183213155732,8.371941040104918,14.005124253260648,9.672068014868248,2.214217367712263,2.1188388706801375,340110.10475426225,107.46742238742499,7.062796235600459,7.3807245590408765,89.32291666666666,615,448.427209854126,86.16319444444444,797,375921.67822265625,78.05555555555556,1264,1542.4133987426758,2676,3306.6899206288967,243.5446978344897,1640.1610128814807,528.0161102710986,0,5760,1.0,False,False,complete,nn_mpc,2,2021,,-1,20,100,priced,1785.7,regen-v2,637c6b535a9e,c49536f,local
5310,-3.569671551866915,9.287450603823396,12.857122155690313,8.087385911260242,2.179231283487631,2.590504960942438,377302.6807803255,89.85984345844713,8.635016536474794,7.264104278292103,83.9924670433145,850,696.2990159988403,81.77024482109228,968,528184.5104980469,79.62335216572505,1082,1426.9186058044434,2900,2764.9182587533523,297.7591910374218,1614.2453953766726,569.2199392205257,0,5760,0.9219,True,False,env_terminated,nn_mpc,2,2022,,-1,20,100,priced,1640.9,regen-v2,637c6b535a9e,c49536f,local
5760,-3.256218036398952,8.921610096329669,12.17782813272862,7.895418175842913,2.485551921410059,1.7968580354756496,362440.41016339284,87.72686862047681,5.989526784918832,8.285173071366863,91.44097222222223,493,285.40818977355957,93.35069444444444,383,129580.07946777344,69.02777777777777,1784,2715.463893890381,2660,2699.2882653471897,206.53540661544093,1841.1495705649081,756.8696067068798,0,5760,1.0,False,False,complete,nn_mpc,2,2023,,-1,20,100,priced,1777.1,regen-v2,637c6b535a9e,c49536f,local
5760,-0.8797880100692808,10.932977033311737,11.812765043381019,6.67526364538264,2.0979687900125867,3.039532607985791,444152.19197828934,74.16959605980712,10.131775359952638,6.993229300041956,81.18055555555556,1084,630.2607192993164,98.47222222222223,88,21414.74267578125,71.21527777777777,1658,3061.0227279663086,2830,2282.1414173966446,349.3715638168874,1554.0509563218461,800.2044853776327,0,5760,1.0,False,False,complete,nn_mpc,3,2020,,-1,20,100,priced,1952.1,regen-v2,637c6b535a9e,c49536f,local
5760,-4.9891550798322335,9.59112548648116,14.580280566313393,8.729569514067023,2.017225970721786,3.833485081524584,389639.4728882971,96.99521682296692,12.778283605081947,6.72408656907262,88.42013888888889,667,404.2755994796753,93.19444444444444,392,424222.05700683594,63.4375,2106,3300.7574157714844,3165,2984.468210656772,440.6304696920067,1494.2414586408968,726.1390214720893,0,5760,1.0,False,False,complete,nn_mpc,3,2021,,-1,20,100,priced,1934.5,regen-v2,637c6b535a9e,c49536f,local
5224,-4.166520954562429,10.812571743803932,14.979092698366362,7.264625146142159,1.994445558977019,5.720021993247182,439260.7270920347,80.71805717935733,19.06673997749061,6.64815186325673,84.99234303215927,784,538.6959743499756,86.67687595712098,696,361221.7738647461,69.2572741194487,1606,2578.377960205078,3086,2483.632528433746,657.4737916190461,1477.3670810777076,631.8945111501785,0,5760,0.9069,True,False,env_terminated,nn_mpc,3,2022,,-1,20,100,priced,1710.7,regen-v2,637c6b535a9e,c49536f,local
5603,-1.9720959841814947,8.756221298264979,10.728317282446472,6.789907806596352,2.1251599767652127,1.8132494990849075,355721.49024201476,75.4434200732928,6.044164996949692,7.083866589217376,87.27467428163483,713,371.6176071166992,98.7149741210066,72,7612.7659912109375,59.25397108691772,2283,4107.266773223877,3068,2321.336000130827,208.41948292296726,1574.1925766064553,827.0793587270201,0,5760,0.9727,True,False,env_terminated,nn_mpc,3,2023,,-1,20,100,priced,1879.5,regen-v2,637c6b535a9e,c49536f,local
5760,-1.3761369248609765,11.661921963095361,13.038058887956337,8.042788709827162,2.256154040406641,2.739116137722535,473765.57975074905,89.36431899807958,9.130387125741784,7.520513468022138,79.87847222222221,1159,832.0835237503052,98.61111111111111,80,24819.8193359375,75.26041666666666,1425,1925.2736892700195,2664,2749.6713537935993,314.8409353199445,1671.2252160480243,769.3822154035377,0,5760,1.0,False,False,complete,nn_mpc,4,2020,,-1,20,100,priced,1819.5,regen-v2,637c6b535a9e,c49536f,local
5760,-6.210297816299626,10.206682583984424,16.41698040028405,9.736985679935138,2.0254473894806964,4.654547330868215,414646.4799743672,108.18872977705709,15.515157769560716,6.751491298268988,85.67708333333334,825,935.1012134552002,98.15972222222223,106,31632.01368713379,67.17013888888889,1891,2501.279083251953,2822,3328.883992786997,535.0054401372604,1500.3313998658084,644.5087701454083,0,5760,1.0,False,False,complete,nn_mpc,4,2021,,-1,20,100,priced,1786.2,regen-v2,637c6b535a9e,c49536f,local
5222,-5.4553799177982905,11.492146312117061,16.94752622991535,8.395321976733342,1.87910054273508,6.673103710446928,466868.4439297556,93.28135529703714,22.243679034823096,6.2636684757836,78.5331290693221,1121,1385.2634572982788,97.10838759096131,151,46051.72265625,72.17541171964764,1453,2088.0132446289062,2725,2870.1955483048346,767.0234151125892,1391.9263280759587,581.1726042486512,0,5760,0.9066,True,False,env_terminated,nn_mpc,4,2022,,-1,20,100,priced,1604.6,regen-v2,637c6b535a9e,c49536f,local
5760,-3.0535342406429615,9.091112938452426,12.144647179095386,7.953634201814125,2.2381462999798787,1.952866677301384,369326.4631246298,88.37371335349027,6.509555591004614,7.460487666599596,86.16319444444444,797,478.1286745071411,99.30555555555556,40,14606.226196289062,61.90972222222222,2194,3507.8076667785645,3031,2719.1911817553555,224.46743397510235,1657.8861489408669,866.620072650349,0,5760,1.0,False,False,complete,nn_mpc,4,2023,,-1,20,100,priced,1813.1,regen-v2,637c6b535a9e,c49536f,local
