steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,objective,secs,regen_id,config_hash,git_sha,image
5760,9.125699757050805,16.25256438079339,7.126864623742586,4.716889670289055,2.2492837660918625,0.16069118736166949,660260.4279697315,52.40988522543394,0.535637291205565,7.497612553639542,57.013888888888886,2476,3060.082100868225,100.0,0,0.0,70.05208333333334,1725,3430.6332969665527,4201,1612.6118528641255,18.47025132633412,1666.1361233092211,1372.1727311892719,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,4,2020,0.0,3994953572,20,100,priced,63.9,regen-v2,637c6b535a9e,bfb83b9,local
5760,-1.4689616404342654,7.780484675831032,9.249446316265297,6.849030999804295,1.650984445316507,0.7494308711444958,316082.1899556357,76.10034444226996,2.4981029038149862,5.503281484388357,67.23958333333333,1887,1577.4105033874512,100.0,0,0.0,57.65625,2439,4725.911026000977,4326,2341.5490600483504,86.14147961227422,1222.9514408656335,1263.3689888363997,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,4,2021,0.0,3994953572,20,100,priced,56.9,regen-v2,637c6b535a9e,c49536f,local
5760,6.103581372747397,15.064398545512642,8.960817172765246,5.9612413290586295,2.089667270792639,0.9099085729139783,611991.1909114511,66.23601476731811,3.0330285763799276,6.965557569308797,72.67361111111111,1574,1539.379653930664,100.0,0,0.0,65.36458333333334,1995,3763.12638092041,3569,2038.0312242635482,104.58719251378645,1547.901681756471,1245.8717482856791,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,4,2022,0.0,3994953572,20,100,priced,63.3,regen-v2,637c6b535a9e,c49536f,local
5760,5.152591164394966,12.729640306261949,7.577049141866983,5.13487503844052,2.3066614448102145,0.13551265861624853,517141.6374418917,57.05416709378356,0.4517088620541618,7.688871482700716,62.84722222222222,2140,2098.963930130005,100.0,0,0.0,55.53819444444444,2561,4405.08674621582,4701,1755.5128328580327,15.576167730732312,1708.6381074592782,1652.2293539736957,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,4,2023,0.0,3994953572,20,100,priced,63.0,regen-v2,637c6b535a9e,c49536f,local
5760,9.117188055204531,16.233112870058434,7.115924814853905,4.720019118639635,2.2279039017403814,0.16800179447388838,659470.210346124,52.444656873773724,0.560005981579628,7.426346339134605,57.11805555555556,2470,3061.6824645996094,100.0,0,0.0,70.0,1728,3448.651901245117,4198,1613.6817489003406,19.310551057621076,1650.299186840662,1367.7201517938988,0,5760,1.0,False,False,complete,sindy_mpc_raw,4,2020,0.0,3428699522,20,100,priced,62.4,regen-v2,637c6b535a9e,c49536f,local
5760,-1.4555867662808852,7.77575506958397,9.231341835864855,6.851445288901772,1.6361158807052374,0.743780666257845,315890.04970184877,76.12716987668635,2.47926888752615,5.453719602350792,67.69097222222223,1861,1560.0786018371582,100.0,0,0.0,57.46527777777778,2450,4725.18034362793,4311,2342.3744590653173,85.49203065844483,1211.9376899132785,1262.0081046875634,0,5760,1.0,False,False,complete,sindy_mpc_raw,4,2021,0.0,3428699522,20,100,priced,56.5,regen-v2,637c6b535a9e,c49536f,local
5760,6.114973151228054,15.04905330413657,8.93408015290852,5.959385492004159,2.071888607218342,0.9028060536860173,611367.7904805483,66.21539435560177,3.0093535122867245,6.906295357394473,72.8125,1566,1542.346019744873,100.0,0,0.0,65.45138888888889,1990,3748.515369415283,3556,2037.3967497777917,103.77081074072248,1534.7323015475126,1240.3465610975459,0,5760,1.0,False,False,complete,sindy_mpc_raw,4,2022,0.0,3428699522,20,100,priced,62.6,regen-v2,637c6b535a9e,c49536f,local
5760,5.15312613578552,12.71064951750422,7.557523381718701,5.140704152949965,2.279552324471986,0.13726690429674926,516370.13664860895,57.118935032777394,0.45755634765583086,7.598507748239953,63.15972222222223,2122,2080.254250526428,100.0,0,0.0,55.41666666666667,2568,4425.655891418457,4690,1757.5056937125928,15.777805115829107,1688.5572760938144,1647.2324764407022,0,5760,1.0,False,False,complete,sindy_mpc_raw,4,2023,0.0,3428699522,20,100,priced,61.6,regen-v2,637c6b535a9e,c49536f,local
5760,7.526436397236483,15.964047395852795,8.437610998616313,5.275499771832536,3.1469980774444437,0.015113149339333175,648539.4254565198,58.61666413147262,0.05037716446444392,10.489993591481479,64.40972222222221,2050,2108.1225032806396,99.16666666666667,48,53232.85168457031,75.03472222222223,1438,2429.7507400512695,3536,1803.5896660343312,1.7371436203663406,2331.1096876464426,1544.7902129047584,0,5760,1.0,False,False,complete,sindy_mpc_lowthr,4,2020,0.03557852608900392,3842449293,20,100,priced,52.2,regen-v2,637c6b535a9e,c49536f,local
5760,1.8224151506611403,12.273524289109364,10.451109138448224,7.485688366948343,2.443341742372907,0.522079029126975,498611.924245068,83.17431518831494,1.74026343042325,8.144472474576357,70.17361111111111,1718,1359.7499446868896,97.17013888888889,163,92903.41763305664,62.482638888888886,2161,2664.035202026367,4042,2559.2096984363716,60.00908381195726,1809.8827715614007,1437.7091813857628,0,5760,1.0,False,False,complete,sindy_mpc_lowthr,4,2021,0.03557852608900392,3842449293,20,100,priced,52.2,regen-v2,637c6b535a9e,c49536f,local
