family,condition,seed,feature_variant,xi_uboil,xi_t_uboil,xi_uboil_baseline,xi_uboil_greybox,secs,epi,viol,t_in_in_corridor_pct,t_in_violation_steps,boiler_sum,solver_failures
main,knockin,3,physics_no_cross,0.0243933043965413,,0.0,0.0243933043965413,73.6,1.175578030578112,6395,47.74305555555556,3010,1452.6444228800642,0
interaction,phys_baseline,3,physics,0.0,0.0,0.0,,75.9,5.803528065693264,4729,45.85069444444444,3119,1578.5243544565735,0
interaction,phys_ko_uboil_alone,3,physics,0.0,0.0,0.0,,76.1,5.803528065693264,4729,45.85069444444444,3119,1578.5243544565735,0
interaction,phys_ko_uboil_and_cross,3,physics,0.0,0.0,0.0,,75.6,5.803528065693264,4729,45.85069444444444,3119,1578.5243544565735,0
main,baseline,4,physics_no_cross,0.0,,0.0,0.0420945433061205,70.0,0.0844415939595433,7176,42.01388888888889,3340,1457.1245647361573,0
main,knockout,4,physics_no_cross,0.0,,0.0,0.0420945433061205,81.0,0.0844415939595433,7176,42.01388888888889,3340,1457.1245647361573,0
main,knockin,4,physics_no_cross,0.0420945433061205,,0.0,0.0420945433061205,78.6,3.6256319779403454,7133,48.97569444444444,2939,1520.4163881034824,0
interaction,phys_baseline,4,physics,0.1634132038541411,-0.0938071320357837,0.1634132038541411,,81.6,2.384383696745192,6988,64.67013888888889,2035,1781.0532453916533,0
interaction,phys_ko_uboil_alone,4,physics,0.0,-0.0938071320357837,0.1634132038541411,,99.9,-3.4140478533312333,11246,32.916666666666664,3864,790.4823730978369,0
interaction,phys_ko_uboil_and_cross,4,physics,0.0,0.0,0.1634132038541411,,96.8,-0.7733175972103818,12074,31.944444444444443,3920,98.22956987850252,0
main,baseline,5,physics_no_cross,0.0,,0.0,0.044748145117923,72.2,-1.141289752690633,4922,48.24652777777778,2981,1581.890118153749,0
main,knockout,5,physics_no_cross,0.0,,0.0,0.044748145117923,84.3,-1.141289752690633,4922,48.24652777777778,2981,1581.890118153749,0
main,knockin,5,physics_no_cross,0.044748145117923,,0.0,0.044748145117923,78.6,2.0534010171778725,4560,54.826388888888886,2602,1625.4965124078904,0
interaction,phys_baseline,5,physics,0.0770418110074252,0.0,0.0770418110074252,,88.5,2.1388557092439524,6702,65.08680555555556,2011,1593.756496800469,0
interaction,phys_ko_uboil_alone,5,physics,0.0,0.0,0.0770418110074252,,81.6,-3.812751018809254,6611,48.61111111111111,2960,1563.0827845572203,0
interaction,phys_ko_uboil_and_cross,5,physics,0.0,0.0,0.0770418110074252,,82.7,-3.812751018809254,6611,48.61111111111111,2960,1563.0827845572203,0
main,baseline,6,physics_no_cross,0.0,,0.0,0.034231939010573,73.7,-3.0654236834047515,6729,46.09375,3105,1476.6321353271646,0
main,knockout,6,physics_no_cross,0.0,,0.0,0.034231939010573,78.2,-3.0654236834047515,6729,46.09375,3105,1476.6321353271646,0
main,knockin,6,physics_no_cross,0.034231939010573,,0.0,0.034231939010573,70.7,0.7266151513319732,6697,51.66666666666667,2784,1520.2472414497602,0
interaction,phys_baseline,6,physics,0.0628390240206142,0.0,0.0628390240206142,,78.8,5.64977711145963,4642,58.81944444444444,2372,1569.9341213109549,0
interaction,phys_ko_uboil_alone,6,physics,0.0,0.0,0.0628390240206142,,81.3,1.8922708654884943,5201,50.08680555555556,2875,1524.845022578422,0
interaction,phys_ko_uboil_and_cross,6,physics,0.0,0.0,0.0628390240206142,,81.4,1.8922708654884943,5201,50.08680555555556,2875,1524.845022578422,0
main,baseline,7,physics_no_cross,0.0558272724677562,,0.0558272724677562,0.0516677808038398,72.9,8.40442130582949,3812,70.74652777777779,1685,1770.9688190288934,0
main,knockout,7,physics_no_cross,0.0,,0.0558272724677562,0.0516677808038398,84.5,8.494649775012066,4294,63.09027777777778,2126,1731.2130603118328,0
main,knockin,7,physics_no_cross,0.0516677808038398,,0.0558272724677562,0.0516677808038398,81.9,8.404838823671525,3844,70.27777777777777,1712,1768.956381931822,0
interaction,phys_baseline,7,physics,0.0700186764739166,0.0,0.0700186764739166,,85.8,6.406019696528187,3834,75.34722222222221,1420,1899.945562025268,0
interaction,phys_ko_uboil_alone,7,physics,0.0,0.0,0.0700186764739166,,88.2,-6.922883034786616,4961,74.6875,1458,1871.8868651886664,0
interaction,phys_ko_uboil_and_cross,7,physics,0.0,0.0,0.0700186764739166,,87.7,-6.922883034786616,4961,74.6875,1458,1871.8868651886664,0
main,baseline,8,physics_no_cross,0.0,,0.0,0.035544391166728,70.3,5.66571225412745,3737,57.29166666666666,2460,1816.682245793485,0
main,knockout,8,physics_no_cross,0.0,,0.0,0.035544391166728,79.9,5.66571225412745,3737,57.29166666666666,2460,1816.682245793485,0
